step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.6027736555101,0,0.0,0.09668286773329239,1,0.0,0.1637951301320203,1,0.0,0.2484954955145701,0,0.0,0.09578597741779554,0,0.0,0.34019019810937356,0,0.0,1.0,0,0.0,0.22272205887385957,1,0.0,0.050160171016771185,1,0.0,0.25141664820467735,4,0.0,-0.4
10.0,7,0.0,0.0,6.5823285839159436,1,0.0,0.3457973869280809,2,0.0,0.5385152972037103,0,0.0,0.7547501365158616,1,0.0,0.30621888338469444,0,0.0,0.7324798253580845,2,0.0,0.2206207997479935,0,0.0,0.6665820610742959,0,0.0,0.4319331625529027,1,0.0,0.4465707831735535,7,0.0,-0.7
15.0,7,0.0,0.0,9.166304491420442,1,0.0,0.6130089097342173,1,0.0,0.6450107968470381,0,0.0,0.7584951611592737,1,0.0,0.5414747919248567,1,0.0,0.6773337698930038,2,0.0,0.5121012705194108,0,0.0,0.7535989147771243,0,0.0,0.9169844552125047,1,0.0,0.7343133394678012,7,0.0,-0.7
20.0,10,9.0,0.10112359550561797,8.370276128022649,2,0.0,0.6214364003178022,1,1.0,0.6298684633646237,2,0.0,0.5039209361893661,0,0.0,0.7490809341510765,2,3.0,0.5251380586345415,0,0.0,0.5942295133642314,1,3.0,0.3138793925122197,1,2.0,0.5556319534477183,1,0.0,0.6901427041794697,10,9.0,-1.0
25.0,14,53.0,0.4774774774774775,7.509695901552652,0,0.0,0.5949654029837822,0,3.0,0.6230475611888643,1,7.0,0.5310435257766549,1,1.0,0.5267930342537028,5,15.0,0.3948298015223422,2,7.0,0.564787819346746,2,11.0,0.3287375904714832,3,14.0,0.37607712376592783,0,0.0,0.7495327344462042,14,58.0,-1.4
30.0,36,158.0,1.1366906474820144,6.627850687991245,2,3.0,0.5903598958839256,3,11.0,0.4544479891953198,6,19.0,0.5193733906295787,5,19.0,0.3858367862591225,5,41.0,0.426713876751794,4,18.0,0.4898939066220505,2,21.0,0.44050761674300154,5,29.0,0.3003636211377615,4,8.0,0.5542062722312178,36,169.0,-3.5999999999999996
35.0,41,301.0,1.8353658536585367,6.475008426160573,1,3.0,0.6310210736373019,4,29.0,0.47719048126302166,4,38.0,0.5853947964438303,6,47.0,0.4201789729689968,5,67.0,0.3963150735522359,9,44.0,0.4310592190991907,3,35.0,0.48808273827231197,5,46.0,0.3797189310749101,4,14.0,0.39317825526745054,41,323.0,-4.1
40.0,70,529.0,2.798941798941799,5.263669075689666,8,24.0,0.36898580622421906,6,42.0,0.4753807303568271,7,54.0,0.46850058939079037,8,82.0,0.38855788587904494,11,104.0,0.2632269482750053,9,87.0,0.3016821323123533,6,55.0,0.38287055061038777,8,72.0,0.3397427893851066,7,43.0,0.43810780575312985,70,563.0,-7.0
45.0,86,748.0,3.5619047619047617,4.566126626017561,8,51.0,0.30175917384625484,7,59.0,0.36476251728489634,8,73.0,0.42169825068533345,11,133.0,0.2841990981149797,9,111.0,0.270287818411379,16,159.0,0.27212685403538184,11,89.0,0.22466824531383853,9,105.0,0.3761455752271939,7,48.0,0.4494790166026221,86,828.0,-8.600000000000001
50.0,114,1143.0,4.905579399141631,4.350617028871532,13,108.0,0.24751790790433237,11,107.0,0.3295085779555084,11,121.0,0.2668001421421264,17,206.0,0.2705961459810526,12,115.0,0.2963404234564919,17,238.0,0.30648370486826076,13,146.0,0.34354667249447396,8,120.0,0.3480264899737548,12,83.0,0.3652217864260283,114,1244.0,-11.4
55.0,112,1305.0,5.117647058823529,4.2258085567240755,13,152.0,0.27401482395975885,12,125.0,0.2829615961945941,15,189.0,0.1886737499168031,14,228.0,0.3371106625857989,11,123.0,0.3313150292065956,17,305.0,0.2899491231027815,13,202.0,0.33943350185001286,8,117.0,0.3087715578308571,9,109.0,0.3905566599557093,112,1550.0,-11.2
60.0,129,1576.0,5.7309090909090905,4.31702268677487,10,173.0,0.3029161314437221,16,149.0,0.30316090201443296,13,213.0,0.30168796048494334,19,270.0,0.2686940785382157,13,172.0,0.36838262231816704,17,334.0,0.27392068502699546,15,272.0,0.28471997730273,12,151.0,0.22271352489757623,14,148.0,0.40341752804268827,129,1882.0,-12.9
65.0,137,1866.0,6.368600682593857,3.779691934511191,10,211.0,0.28065015432319795,18,231.0,0.2886255530348447,12,210.0,0.34995936695090524,18,310.0,0.15760857826710847,14,219.0,0.27096196064498523,18,334.0,0.21454735113917303,18,358.0,0.2472577128403063,13,210.0,0.2785060618494427,16,211.0,0.29356110120326684,137,2294.0,-13.7
70.0,161,2219.0,6.912772585669782,3.3707480267620684,15,273.0,0.2192711488482954,22,308.0,0.2721545894343348,12,225.0,0.3225167045264435,19,326.0,0.21861296107903416,14,268.0,0.30410400146659433,24,399.0,0.17754996296012568,22,459.0,0.16467775806569296,14,265.0,0.23959651124192086,19,275.0,0.21192214254443167,161,2798.0,-16.1
75.0,173,2585.0,7.536443148688047,3.285390354443633,18,316.0,0.21542761852757764,26,400.0,0.18786046592415143,11,224.0,0.2840452117442125,16,369.0,0.24346577877266468,18,311.0,0.2570695708426274,23,503.0,0.18221996475947633,23,564.0,0.22396524645654903,16,309.0,0.2562622672151092,22,358.0,0.20675175058376039,173,3354.0,-17.299999999999997
80.0,191,2870.0,7.756756756756757,3.0461333569632987,20,373.0,0.2341953943626563,25,486.0,0.1677599604611077,10,193.0,0.3130456123080365,24,471.0,0.22625127833658576,24,382.0,0.1757784820186624,22,593.0,0.17470034704271903,27,682.0,0.18794725281647745,15,326.0,0.2797785340451955,23,398.0,0.20822640263368355,190,3904.0,-19.0
85.0,202,3099.0,7.905612244897959,3.06634038931115,23,465.0,0.19805432378247034,31,622.0,0.15128452708238121,10,174.0,0.38453078028819776,22,525.0,0.1832523844056806,29,491.0,0.1902227188944843,25,649.0,0.15930594722266883,29,820.0,0.22484623671607296,15,322.0,0.2506096368470101,18,430.0,0.23681908856985143,202,4498.0,-20.200000000000003
90.0,240,3525.0,8.473557692307692,2.65225537037466,27,547.0,0.236298861011787,35,712.0,0.15498658336425788,14,181.0,0.34039382908026367,27,567.0,0.10522900371652338,37,653.0,0.14264406112309116,30,682.0,0.14800840275360352,35,975.0,0.14158177422185553,18,344.0,0.23620610517065865,17,507.0,0.2449405398033085,240,5168.0,-24.0
95.0,255,3970.0,8.90134529147982,2.6876600932639234,25,659.0,0.24914909160705062,37,843.0,0.17279042308143183,12,200.0,0.32590952038073867,31,659.0,0.13240939426380166,36,735.0,0.200044896369616,38,720.0,0.09509936078657413,32,1040.0,0.14087849546665515,19,387.0,0.2237756992366946,25,594.0,0.1888414819293784,255,5837.0,-25.5
100.0,278,4487.0,9.691144708423327,2.5953497138674666,30,789.0,0.2264356877881859,37,922.0,0.15607031375168948,17,252.0,0.2844860631659406,33,758.0,0.19195691259127623,31,728.0,0.15815399621214032,39,824.0,0.10835542237613369,31,1114.0,0.14160336091738565,26,500.0,0.17380557767294205,34,743.0,0.17146440057878665,278,6630.0,-27.8
105.0,295,5026.0,10.670912951167729,2.1455026900145273,37,956.0,0.1658318367788619,37,992.0,0.10792201242190981,14,297.0,0.3203535970339955,35,907.0,0.14554399088071213,33,791.0,0.10690301083330613,42,902.0,0.07523941629688516,29,1262.0,0.12402846343263577,29,575.0,0.1463870037051269,39,923.0,0.1149799641038174,295,7605.0,-29.5
110.0,306,5915.0,12.611940298507463,1.9554825614834983,36,1040.0,0.11231431781959003,41,1137.0,0.09242225245831591,14,310.0,0.2766898222134197,42,1104.0,0.07847751295930035,34,843.0,0.11468769406903553,37,1052.0,0.08402599250968001,33,1422.0,0.13432551533472634,31,607.0,0.12233268603959083,38,1068.0,0.11503021311296348,306,8583.0,-30.600000000000005
115.0,310,6608.0,14.180257510729614,1.525339495591376,35,1193.0,0.06437756827293799,42,1263.0,0.06098647250938802,16,341.0,0.26886651603366873,49,1336.0,0.03515648297192436,37,904.0,0.05795296451645283,27,1134.0,0.09797104867468452,34,1554.0,0.11086810318460384,32,704.0,0.05159741439066161,38,1174.0,0.12359208627081589,310,9603.0,-31.0
120.0,330,7420.0,15.991379310344827,1.189851417098018,40,1362.0,0.015083022249371693,45,1455.0,0.030993351047978464,18,372.0,0.11896444575550118,53,1589.0,0.03134959724656382,38,920.0,0.07900554747721197,31,1206.0,0.08651040588941891,34,1664.0,0.05264966963314881,32,733.0,0.06310510397223355,39,1366.0,0.06719353439191118,330,10667.0,-33.0
125.0,343,8655.0,18.733766233766232,1.2341663589969378,41,1564.0,0.017286797957057055,47,1659.0,0.04150060176930467,17,385.0,0.13766494756678987,57,1864.0,0.042887945493212655,33,939.0,0.13778453214783268,41,1376.0,0.0758751011365114,35,1816.0,0.07987267401441522,28,819.0,0.10449866168521098,44,1573.0,0.01711844125488361,343,11995.0,-34.3
130.0,352,9339.0,20.214285714285715,1.012673539793484,38,1685.0,0.018017207158945846,53,1843.0,0.02157844482489854,20,479.0,0.14132414345268868,59,2153.0,0.04760991370178676,34,1025.0,0.11614978240538111,49,1609.0,0.050348615364768326,29,1788.0,0.07362788879296549,25,850.0,0.09321620373961571,45,1760.0,0.009158589803678395,352,13192.0,-35.2
135.0,356,10027.0,21.940919037199123,1.1308788867503319,36,1823.0,0.021207460205766856,53,2023.0,0.05181220483977294,24,581.0,0.06974321485302556,57,2391.0,0.045374734445563336,35,1129.0,0.1238397806087683,49,1757.0,0.04030949986783139,31,1590.0,0.058951200720924676,26,957.0,0.1138177079134396,45,1934.0,0.0210358646066184,356,14185.0,-35.6
