step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,4.410839744315793,1,0.0,0.2822928054466409,1,0.0,-0.6
10.0,0,0.0,0.0,7.814762532728047,0,0.0,0.5257185833163677,0,0.0,0.0
15.0,2,0.0,0.0,9.07451535040181,2,0.0,0.6258055360745447,2,0.0,-1.2
20.0,2,0.0,0.0,10.256419202206382,2,0.0,0.7148287182375614,2,0.0,-1.2
25.0,3,4.0,0.14285714285714285,10.454274170261247,3,4.0,0.7330128160334057,3,4.0,-1.7999999999999998
30.0,6,19.0,0.5428571428571428,8.697949983065415,6,19.0,0.601758707656158,6,19.0,-3.5999999999999996
35.0,8,31.0,0.7560975609756098,8.138991756429656,8,34.0,0.5485078553170124,8,34.0,-4.8
40.0,12,74.0,1.608695652173913,8.090530706594834,12,74.0,0.5151444513713628,12,74.0,-7.199999999999999
45.0,17,138.0,2.7058823529411766,7.201603589586831,17,138.0,0.42794538623967315,17,138.0,-10.2
50.0,23,231.0,4.052631578947368,6.585408557941397,23,231.0,0.37497604602090345,23,231.0,-13.799999999999999
55.0,22,336.0,5.694915254237288,6.227352407253199,22,336.0,0.36524754277725135,22,336.0,-13.2
60.0,29,465.0,7.265625,5.453271807050303,29,465.0,0.319835949034471,29,465.0,-17.4
65.0,31,429.0,6.217391304347826,5.115478448610295,31,535.0,0.3187951245887011,31,535.0,-18.599999999999998
70.0,22,446.0,6.28169014084507,6.227132314090005,22,544.0,0.3781500503721461,22,544.0,-13.2
75.0,27,561.0,7.10126582278481,5.995420038370743,27,634.0,0.3327311167582705,27,634.0,-16.2
80.0,39,720.0,8.571428571428571,5.491828382407293,39,792.0,0.27795745337349426,39,792.0,-23.4
85.0,45,927.0,10.905882352941177,4.991212627432862,45,999.0,0.25438253782383274,45,999.0,-27.0
90.0,53,1172.0,13.318181818181818,4.028782425130587,53,1244.0,0.21856177716327324,53,1244.0,-31.799999999999997
95.0,57,1441.0,15.66304347826087,3.6499446821244645,57,1514.0,0.20220098115365465,57,1514.0,-34.199999999999996
