step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,4.14789367869186,1,0.0,0.3072576947009052,1,0.0,-0.5
10.0,0,0.0,0.0,7.400392869769105,0,0.0,0.5493224398251564,0,0.0,0.0
15.0,2,0.0,0.0,8.751920106119684,2,0.0,0.660097239885294,2,0.0,-1.0
20.0,2,0.0,0.0,9.637797686229463,2,0.0,0.7112680701109113,2,0.0,-1.0
25.0,1,0.0,0.0,10.353795608610918,1,0.0,0.7633020236015796,1,0.0,-0.5
30.0,4,8.0,0.22857142857142856,8.904780152421614,4,8.0,0.6583112045182337,4,8.0,-2.0
35.0,6,24.0,0.5853658536585366,7.757579828802731,6,24.0,0.5663287239301406,6,24.0,-3.0
40.0,14,66.0,1.434782608695652,7.391272035244582,14,66.0,0.49158789447014156,14,66.0,-7.0
45.0,12,94.0,1.8431372549019607,6.828845549918193,12,109.0,0.4513476159226287,12,109.0,-6.0
50.0,20,167.0,2.9298245614035086,7.058968684896543,20,167.0,0.4282156311610947,20,167.0,-10.0
55.0,16,135.0,2.2131147540983607,7.063596517338698,16,201.0,0.41793966119507897,16,201.0,-8.0
60.0,14,158.0,2.4307692307692306,6.77942178512533,14,204.0,0.401357807063479,14,204.0,-7.0
65.0,20,123.0,1.732394366197183,6.664734788139049,20,229.0,0.3846846164025252,20,229.0,-10.0
70.0,20,159.0,2.2083333333333335,6.180930215831237,20,247.0,0.3616440516301172,20,247.0,-10.0
75.0,29,239.0,3.103896103896104,5.707851891904291,29,341.0,0.32389069926669434,29,341.0,-14.5
80.0,30,338.0,4.225,5.933401248337737,30,422.0,0.3349308269481458,30,422.0,-15.0
85.0,31,372.0,4.536585365853658,5.656750372627176,31,514.0,0.31979210551972814,31,514.0,-15.5
90.0,37,506.0,5.952941176470588,5.0872792543742,37,607.0,0.2833441306925695,37,607.0,-18.5
95.0,45,706.0,7.932584269662922,5.370108588044507,45,784.0,0.26998081778004124,45,784.0,-22.5
100.0,47,932.0,10.241758241758241,4.909478430930067,47,1010.0,0.24053867686551164,47,1010.0,-23.5
105.0,50,1007.0,10.6,4.435190681781541,50,1180.0,0.21917089677652188,50,1180.0,-25.0
110.0,49,1020.0,11.08695652173913,3.967466698579187,49,1279.0,0.20398955947397923,49,1279.0,-24.5
115.0,44,856.0,9.204301075268818,3.549148671285967,44,1389.0,0.173278378358594,44,1389.0,-22.0
120.0,46,712.0,7.655913978494624,3.386960514368283,46,1392.0,0.1613646984255316,46,1392.0,-23.0
125.0,44,563.0,5.98936170212766,3.088557763828411,44,1527.0,0.13119920331032559,44,1527.0,-22.0
130.0,45,481.0,5.117021276595745,3.3090246501825438,45,1594.0,0.1353075780876828,45,1594.0,-22.5
135.0,48,474.0,4.9375,3.3651286889921574,48,1780.0,0.13851030374214118,48,1780.0,-24.0
140.0,55,657.0,7.064516129032258,3.2432239277533315,55,1929.0,0.13170974769096105,55,1929.0,-27.5
145.0,57,888.0,9.652173913043478,2.9857420554521856,57,2098.0,0.10868222644239607,57,2098.0,-28.5
150.0,57,1114.0,12.377777777777778,3.111036594176233,57,2225.0,0.1095280236376135,57,2225.0,-28.5
155.0,49,1118.0,13.0,2.5842974594105996,49,2318.0,0.07900769372662098,49,2318.0,-24.5
160.0,46,992.0,11.951807228915662,2.7345332614543216,46,2298.0,0.07982391827782745,46,2298.0,-23.0
165.0,43,966.0,11.78048780487805,3.226637411652164,43,2260.0,0.072002754368895,43,2260.0,-21.5
170.0,42,1016.0,13.025641025641026,3.6571465364093947,42,2290.0,0.0991074011463122,42,2290.0,-21.0
175.0,44,1221.0,16.28,3.9636380455949953,44,2366.0,0.11222128656894224,44,2366.0,-22.0
180.0,42,1335.0,18.541666666666668,3.4782707506287665,42,2458.0,0.05369299119176752,42,2458.0,-21.0
185.0,49,1569.0,24.138461538461538,2.453092336194225,49,2648.0,0.007753413679058856,49,2648.0,-24.5
190.0,46,1621.0,25.73015873015873,2.3609698776571797,46,2764.0,0.013529833195723864,46,2764.0,-23.0
195.0,37,1532.0,26.413793103448278,2.841597385503932,37,2752.0,0.05306016375985939,37,2752.0,-18.5
200.0,28,1082.0,20.037037037037038,3.022245385830101,28,2593.0,0.08207572691414149,28,2593.0,-14.0
205.0,24,567.0,10.69811320754717,3.9250512760341714,24,2268.0,0.08817067371579855,24,2268.0,-12.0
210.0,19,227.0,4.365384615384615,4.464156536292739,19,2061.0,0.09877924901048185,19,2061.0,-9.5
215.0,22,182.0,3.7916666666666665,4.593997905757845,22,1956.0,0.06959797826576368,22,1956.0,-11.0
