step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.2164858290052507,1,0.0,0.06539223958708842,1,0.0,0.05539166327614619,0,0.0,0.17344780096024157,0,0.0,0.315287674289234,2,0.0,-0.25
10.0,1,0.0,0.0,7.313553434626748,0,0.0,0.5471246986911238,0,0.0,0.5692314431772282,0,0.0,0.48629655467730454,1,0.0,0.5922261547014951,1,0.0,-0.125
15.0,1,0.0,0.0,9.04429229266087,0,0.0,0.7045548205945379,0,0.0,0.6074171369027013,0,0.0,0.7783717231872833,1,0.0,0.6016278062168997,1,0.0,-0.125
20.0,4,0.0,0.0,9.399020984993559,2,0.0,0.65611709522507,1,0.0,0.6634509692445689,0,0.0,0.77204488790035,1,0.0,0.6546139413643284,4,0.0,-0.5
25.0,6,12.0,0.21818181818181817,9.34461277924777,2,2.0,0.6655488839424641,1,5.0,0.6659863475305149,3,5.0,0.6486767007658519,0,0.0,0.7545253025877344,6,12.0,-0.75
30.0,13,48.0,0.7868852459016393,8.266749947777297,5,10.0,0.6046626773762133,4,19.0,0.4214111225841811,3,18.0,0.5160809756184573,1,1.0,0.8519266537068809,13,48.0,-1.625
35.0,22,125.0,1.7857142857142858,6.571429852148413,4,28.0,0.5780439899922923,8,48.0,0.33718000248505114,6,42.0,0.4726854794286332,4,7.0,0.4732676535472186,22,125.0,-2.75
40.0,34,252.0,3.189873417721519,4.967635721712435,11,59.0,0.31888887006555067,8,85.0,0.29169133411160647,7,73.0,0.4025693034351087,8,35.0,0.39825198811492524,34,252.0,-4.25
45.0,45,421.0,4.839080459770115,4.605028838341146,12,94.0,0.2840285020277415,12,138.0,0.30506575982071354,8,111.0,0.3528106049146447,13,83.0,0.34860263320937385,45,426.0,-5.625
50.0,52,648.0,6.48,4.725394876027653,12,148.0,0.3308927727504019,15,203.0,0.2460285359448511,12,158.0,0.33616246197538824,13,141.0,0.3842584842713297,52,650.0,-6.5
55.0,56,907.0,8.098214285714286,4.567156175155094,15,220.0,0.35643572914047283,15,276.0,0.2915010405569707,12,209.0,0.3074829744178885,14,204.0,0.3033115004278361,56,909.0,-7.0
60.0,71,1213.0,9.861788617886178,4.031168793713215,18,300.0,0.2744241194851314,17,355.0,0.2839378088152447,16,262.0,0.2768752075969803,20,285.0,0.24920254552198481,71,1202.0,-8.875
65.0,78,1502.0,11.643410852713178,3.811427932529052,18,345.0,0.21837755200490677,18,442.0,0.3113013071193972,21,352.0,0.257744710958341,21,383.0,0.23847106860322456,78,1522.0,-9.75
70.0,86,1794.0,13.191176470588236,2.949688115902217,18,401.0,0.08999307120586615,22,547.0,0.2324878722038881,23,465.0,0.23840043914372555,23,493.0,0.22501996803294702,86,1906.0,-10.75
75.0,95,2204.0,15.2,3.006265032758968,16,480.0,0.1647719418276125,26,668.0,0.1434115480938083,28,592.0,0.23789381870662457,25,615.0,0.250316822499995,95,2355.0,-11.875
80.0,108,2705.0,17.33974358974359,2.6604923474095865,19,568.0,0.1895455161443209,31,810.0,0.05883380902373503,31,734.0,0.24721200757539802,27,744.0,0.2187190534502805,108,2856.0,-13.5
85.0,121,3267.0,19.21764705882353,2.2336258888151725,22,672.0,0.09230571451505575,35,967.0,0.07362175211021071,33,890.0,0.1841918173911749,31,889.0,0.1962354438625994,121,3418.0,-15.125
90.0,132,3889.0,21.486187845303867,2.5635909275470667,28,800.0,0.13963226201042797,32,1127.0,0.17100587864305652,39,1067.0,0.17379737277525378,33,1047.0,0.18919007888392836,132,4041.0,-16.5
95.0,135,4550.0,24.20212765957447,2.1995210246571752,27,935.0,0.15240376852632023,34,1290.0,0.12252873739072304,41,1265.0,0.12476665599005322,33,1213.0,0.18661658169799747,135,4703.0,-16.875
100.0,154,5280.0,26.532663316582916,1.9956605320959468,29,1073.0,0.17831799671080112,40,1480.0,0.10756604891698593,47,1492.0,0.09970599472561488,38,1388.0,0.15163791318908604,154,5433.0,-19.25
105.0,168,6087.0,30.435,1.5850599343975482,31,1219.0,0.11812829791465593,43,1688.0,0.10015838029791042,51,1742.0,0.09017802844116371,43,1591.0,0.10945441321521998,168,6240.0,-21.0
110.0,179,6957.0,34.785,1.017111019930962,33,1378.0,0.06811801186703037,45,1912.0,0.07277399544326697,53,2001.0,0.0556462954216106,48,1819.0,0.06558870099764076,179,7110.0,-22.375
115.0,183,7653.0,38.265,0.6429498778673712,30,1437.0,0.06720835682997331,47,2142.0,0.03847363788470797,56,2274.0,0.016188117933712755,50,2063.0,0.03072157219015476,183,7916.0,-22.875
120.0,186,8574.0,43.303030303030305,0.5090910445738939,30,1474.0,0.04225262803472008,47,2377.0,0.0004214746053505214,56,2556.0,0.029744015840785634,53,2324.0,0.000433191829062484,186,8731.0,-23.25
125.0,189,9515.0,48.2994923857868,0.33189972821182223,31,1623.0,0.05674401966393064,48,2617.0,4.6479906447437993e-07,56,2836.0,0.019242627323906008,54,2594.0,0.0,189,9670.0,-23.625
130.0,188,10012.0,50.82233502538071,0.301313633424282,31,1778.0,0.03266091683277178,48,2857.0,0.0,55,2951.0,0.008114741088085128,54,2864.0,0.0,188,10450.0,-23.5
135.0,182,10650.0,54.06091370558376,0.5212640367237035,33,1939.0,0.02744596623701383,48,3097.0,1.761605776636084e-07,47,2994.0,0.0290720006287993,54,3136.0,0.033787559974058426,182,11166.0,-22.75
140.0,174,10777.0,55.266666666666666,0.37802624094411613,27,1878.0,0.06221157530642028,48,3337.0,0.0,47,3227.0,0.016136715521389688,52,3375.0,0.02724538315389544,174,11817.0,-21.75
145.0,174,11130.0,57.07692307692308,0.5539537319217539,21,1613.0,0.10229340548383586,48,3579.0,0.035446118523868815,50,3471.0,0.006107910156968747,55,3640.0,0.002638959393170529,174,12303.0,-21.75
150.0,166,10870.0,56.03092783505155,0.9265314552762505,19,1433.0,0.08968368434821834,43,3612.0,0.07301081305429177,53,3731.0,0.04997380102091866,51,3689.0,0.010567116002870955,166,12465.0,-20.75
155.0,157,10852.0,56.81675392670157,1.2557521818554915,19,1321.0,0.12668289428245838,40,3545.0,0.08555429248661404,55,4004.0,0.03023854174259478,43,3567.0,0.04097815356241071,157,12437.0,-19.625
160.0,162,11265.0,58.97905759162304,0.7595176984698385,19,1374.0,0.09978695057190458,42,3747.0,0.04527419704695541,59,4293.0,0.0035343018961999447,42,3777.0,0.02760683110232353,162,13191.0,-20.25
165.0,172,12103.0,64.03703703703704,0.36003232640545313,21,1477.0,0.03461845976407703,45,3966.0,0.020710087480145373,60,4592.0,1.091092352101417e-06,46,3998.0,0.016472045225354188,172,14033.0,-21.5
170.0,181,12990.0,69.46524064171123,0.015430820034387704,23,1587.0,0.00015617459498792392,49,4207.0,0.002705125756869168,60,4892.0,0.0,49,4235.0,0.0008659413149171776,181,14921.0,-22.625
175.0,186,13910.0,74.38502673796792,0.002336719051383509,23,1702.0,0.0,52,4460.0,0.00040634159349584725,60,5192.0,0.0,51,4489.0,0.00012992535878261107,186,15843.0,-23.25
180.0,187,14845.0,79.38502673796792,2.1048596623092235e-05,23,1817.0,0.0,53,4725.0,2.3161302179032077e-06,60,5492.0,0.0,51,4744.0,2.757450252027239e-06,187,16778.0,-23.375
185.0,187,15780.0,84.38502673796792,0.0,23,1932.0,0.0,53,4990.0,0.0,60,5792.0,0.0,51,4999.0,0.0,187,17713.0,-23.375
190.0,187,16715.0,89.38502673796792,0.0,23,2047.0,0.0,53,5255.0,0.0,60,6092.0,0.0,51,5254.0,0.0,187,18648.0,-23.375
195.0,187,17650.0,94.38502673796792,0.0,23,2162.0,0.0,53,5520.0,0.0,60,6392.0,0.0,51,5509.0,0.0,187,19583.0,-23.375
200.0,187,18585.0,99.38502673796792,5.452887090543308e-07,23,2277.0,0.0,53,5785.0,1.1433167808995187e-07,60,6692.0,0.0,51,5764.0,0.0,187,20518.0,-23.375
205.0,187,19520.0,104.38502673796792,0.0,23,2392.0,0.0,53,6050.0,0.0,60,6992.0,0.0,51,6019.0,0.0,187,21453.0,-23.375
210.0,187,20455.0,109.38502673796792,0.0,23,2507.0,0.0,53,6315.0,0.0,60,7292.0,0.0,51,6274.0,0.0,187,22388.0,-23.375
215.0,181,20374.0,108.95187165775401,0.09654300932527476,23,2622.0,0.0,47,6189.0,0.010665552836960605,60,7592.0,0.0,51,6529.0,1.6715149365366864e-07,181,22932.0,-22.625
220.0,177,20743.0,111.52150537634408,0.4096733395365112,23,2737.0,0.0,43,5717.0,0.029814362992723817,60,7892.0,0.0,51,6786.0,0.03830016020998171,177,23132.0,-22.125
225.0,176,21320.0,114.6236559139785,0.42834595698745986,23,2852.0,0.0,42,5745.0,0.011983641901162493,60,8192.0,0.0,51,7041.0,0.038444237724962214,176,23830.0,-22.0
