step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.6412695807754067,1,0.0,0.08267377734465145,1,0.0,0.08151185816276295,0,0.0,0.2103261136102637,0,0.0,0.39440926791529773,2,0.0,-0.25
10.0,1,0.0,0.0,7.420084718076322,0,0.0,0.506707078405229,0,0.0,0.6479879582635425,0,0.0,0.4756190456871506,1,0.0,0.5658008052409617,1,0.0,-0.125
15.0,1,0.0,0.0,9.03960234710153,0,0.0,0.6715933288633209,0,0.0,0.6347495586567657,0,0.0,0.7330283891865983,1,0.0,0.5720310092799807,1,0.0,-0.125
20.0,5,2.0,0.043478260869565216,9.886057827781592,2,0.0,0.671742115211168,1,0.0,0.7267736400735721,1,2.0,0.7631742002008702,1,0.0,0.6685568856243831,5,2.0,-0.625
25.0,4,11.0,0.2037037037037037,9.717316194384741,1,3.0,0.7003056321018059,0,0.0,0.7746126963791783,3,8.0,0.5943765200810696,0,0.0,0.7563288453163629,4,11.0,-0.5
30.0,12,50.0,0.847457627118644,8.253072691910317,3,11.0,0.6202414964596784,3,10.0,0.5907355215708144,5,26.0,0.4058574283187986,1,3.0,0.8120426731834516,12,50.0,-1.5
35.0,26,134.0,1.8873239436619718,5.6722264001378635,5,30.0,0.5207550216774972,7,32.0,0.4042612928259452,9,60.0,0.3126514767357857,5,12.0,0.40175778482797,26,134.0,-3.25
40.0,35,276.0,3.45,5.085690059292561,10,65.0,0.4112102700286846,7,61.0,0.32884463698698646,12,114.0,0.336474331487859,6,36.0,0.4145106379102562,35,276.0,-4.375
45.0,46,460.0,5.168539325842697,4.45413967802859,12,113.0,0.3189016290451162,10,106.0,0.3202469316299008,14,173.0,0.2979416022301484,10,71.0,0.36328783483107435,46,463.0,-5.75
