step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.533036988737877,1,0.0,0.07807866023779615,1,0.0,0.07055463012349188,0,0.0,0.19294183143566593,0,0.0,0.35920735859647557,2,0.0,-0.25
10.0,1,0.0,0.0,7.510546603328402,0,0.0,0.5282874646125065,0,0.0,0.6229741969107495,0,0.0,0.4512426842935411,1,0.0,0.5543116663812624,1,0.0,-0.125
15.0,1,0.0,0.0,9.24982659974193,0,0.0,0.6896465205038341,0,0.0,0.6530713899576074,0,0.0,0.7462485710595266,1,0.0,0.5611156541630227,1,0.0,-0.125
20.0,4,1.0,0.021739130434782608,9.818053589116897,1,0.0,0.7450881943524142,1,0.0,0.6480954828699496,1,1.0,0.778640529778487,1,0.0,0.6342958910574464,4,1.0,-0.5
25.0,5,16.0,0.2962962962962963,10.263407294913426,1,3.0,0.7402473097812737,1,5.0,0.7081655442074091,3,8.0,0.6712816741473963,0,0.0,0.7837336980714712,5,16.0,-0.625
30.0,13,52.0,0.8666666666666667,7.997313819376935,3,9.0,0.6666600458221263,7,23.0,0.40175462832074965,3,20.0,0.4549572521497616,0,0.0,0.7964249789011522,13,52.0,-1.625
35.0,22,132.0,1.8857142857142857,6.3669347542592725,4,26.0,0.5772966944854571,8,53.0,0.37308288187058614,6,45.0,0.41623456204727105,4,8.0,0.3761924480824734,22,132.0,-2.75
40.0,29,239.0,2.950617283950617,5.979450167255277,9,55.0,0.422289546116008,6,75.0,0.42239474628836104,6,77.0,0.388340622253179,8,39.0,0.40165593617462675,29,246.0,-3.625
45.0,40,399.0,4.433333333333334,5.276286753745433,12,103.0,0.3020955803953882,8,107.0,0.3716173229868416,8,102.0,0.37583647854982855,12,84.0,0.3820339050569876,40,396.0,-5.0
50.0,52,598.0,5.920792079207921,4.525313403522782,16,172.0,0.24226213520153075,11,152.0,0.2985337428011146,12,142.0,0.28157043863555237,13,141.0,0.4074487191918778,52,607.0,-6.5
55.0,62,875.0,7.8125,4.21848160696595,22,276.0,0.27854710508405517,13,205.0,0.2595334635041413,13,200.0,0.2630246781633896,14,205.0,0.3216532242517396,62,886.0,-7.75
60.0,77,1212.0,9.619047619047619,3.587100485955909,23,387.0,0.2614729268446486,16,274.0,0.2443341232676319,18,277.0,0.24873261695606366,20,284.0,0.18528675127838648,77,1222.0,-9.625
65.0,84,1610.0,12.578125,3.612406462385708,26,508.0,0.15241995928073807,17,357.0,0.3444166315885948,20,373.0,0.3071444287056217,21,383.0,0.21797512459934118,84,1621.0,-10.5
