step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.5747494166240186,0,0.0,0.43419776952327505,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.1418806234437681,0,0.0,0.26853834068782173,0,0.0,0.2888438874941966,0,0.0,0.4851746472783977,0,0.0,0.5450220116158362,0,0.0,0.4863618359233933,1,0.0,0.1775521834235601,0,0.0,1.0,0,0.0,0.33498408524812934,0,0.0,0.304568052922609,0,0.0,0.3683827297693345,0,0.0,0.17330582986513152,3,0.0,-0.018749999999999996
10.0,11,0.0,0.0,6.384581321958462,0,0.0,0.39501376077004946,1,0.0,0.252215154730871,1,0.0,0.0,2,0.0,0.3716776682460281,2,0.0,0.46388532637023083,0,0.0,0.5241637606107659,0,0.0,0.5823467143776888,0,0.0,0.6961490202001291,0,0.0,0.4830931661131527,1,0.0,0.4624742688550347,1,0.0,0.4968036590760843,0,0.0,1.0,1,0.0,0.4377332643424278,0,0.0,0.638872105151147,2,0.0,0.3302973934448278,0,0.0,0.8012598511306084,11,0.0,-0.06874999999999998
15.0,8,0.0,0.0,8.333942000476878,2,0.0,0.47824987516639256,0,0.0,0.7475930982440087,1,0.0,0.29744977052835997,0,0.0,0.6127790472853853,0,0.0,0.721090786130933,0,0.0,0.6875248654957394,1,0.0,0.6762643510229285,0,0.0,0.6598754121185725,0,0.0,0.6546633827822681,0,0.0,0.5366444602100849,0,0.0,0.6432427193022748,2,0.0,0.26120598243728066,0,0.0,0.6243958533782725,1,0.0,0.7006504258790491,1,0.0,0.6798471342179443,0,0.0,0.6049256172877027,8,0.0,-0.04999999999999999
20.0,14,17.0,0.136,8.285304340970484,1,1.0,0.5644932698610882,0,0.0,0.5784106859002788,1,0.0,0.5804517786368699,1,0.0,0.7399133941959737,1,2.0,0.6387550784987461,1,2.0,0.4976533267119062,3,5.0,0.4481633758411924,1,0.0,0.6249487446378452,0,0.0,0.6896812089285332,1,3.0,0.6205133815230919,1,2.0,0.6182857137723887,0,0.0,0.73970055250242,0,0.0,0.8214010562988799,1,1.0,0.5162315412237899,1,1.0,0.4798817677542309,1,0.0,0.48215565038032543,14,17.0,-0.08749999999999998
25.0,24,68.0,0.43870967741935485,7.657908330153142,1,6.0,0.6723810683988294,2,3.0,0.35204134219561656,0,0.0,0.7572855107885627,0,0.0,0.6848400112669969,2,7.0,0.48704347721534685,4,10.0,0.5210067936611563,2,13.0,0.3871457559310749,1,0.0,0.54764459941574,0,0.0,0.776821516655571,2,1.0,0.46213664897988704,5,15.0,0.22159816295425433,0,0.0,0.7673934368346305,1,1.0,0.6392614034380248,1,6.0,0.6880154199767649,3,10.0,0.4380264356219788,0,0.0,0.6360343550293733,24,72.0,-0.14999999999999997
30.0,48,210.0,1.0880829015544042,6.804502580131135,5,19.0,0.4389291355525798,2,12.0,0.5189211853313613,3,8.0,0.5017875466866806,2,8.0,0.5676290280280761,7,34.0,0.2354033507690453,3,14.0,0.47610838305534553,3,21.0,0.5380295274369249,1,5.0,0.6141756361889696,2,4.0,0.4851984207348463,1,3.0,0.5848031955029271,6,43.0,0.4670157502132064,3,4.0,0.3790545410564978,2,9.0,0.4605025867887376,1,11.0,0.7592812082307496,5,29.0,0.4225923944414249,2,0.0,0.6090500538476797,48,224.0,-0.29999999999999993
35.0,61,383.0,1.6872246696035242,6.17871291347825,8,52.0,0.21828747953391764,3,26.0,0.5266505318499968,4,15.0,0.45145344245583013,2,10.0,0.49460345950182366,9,69.0,0.07062682347854239,7,29.0,0.4726137195254407,4,36.0,0.40172126617473264,5,19.0,0.3861659902029449,3,13.0,0.4952448332709973,0,2.0,0.6475913066535469,6,73.0,0.5275405538070446,1,5.0,0.5187763376357905,3,16.0,0.4699331722951093,3,21.0,0.4178798909935852,3,23.0,0.46829855453666897,0,2.0,0.6477172043522653,61,411.0,-0.3812499999999999
40.0,84,562.0,2.145038167938931,5.87975931250255,6,72.0,0.2559754979225423,4,41.0,0.5236881600284389,3,23.0,0.49277098019747756,4,29.0,0.3444136381362908,11,113.0,0.183582402761373,8,47.0,0.5081008391718421,8,66.0,0.34525664782927984,5,41.0,0.381439650060097,2,11.0,0.5135589344124873,4,13.0,0.4922725969064643,6,68.0,0.3602440096095186,5,12.0,0.45276069842730404,5,38.0,0.4581507913212911,7,30.0,0.31911960548246937,4,37.0,0.4748113606721295,2,9.0,0.635875994323976,84,650.0,-0.5249999999999999
45.0,100,874.0,3.099290780141844,5.412122481393396,6,72.0,0.3163303619615229,4,56.0,0.5669639758338086,5,34.0,0.4454272051574549,5,45.0,0.3376677279469152,10,162.0,0.2942768848506366,10,93.0,0.3729327186143414,8,64.0,0.3270411025182606,6,70.0,0.3367588521638878,3,15.0,0.437003989000225,5,26.0,0.4497752703442399,10,69.0,0.3119801902564768,5,28.0,0.34132397862423824,7,73.0,0.4256257068905767,7,62.0,0.3791006374374711,7,66.0,0.2542619303486671,2,11.0,0.7065771004620125,100,946.0,-0.6249999999999999
50.0,142,1280.0,4.102564102564102,4.509667071723216,4,77.0,0.37228324794289414,7,82.0,0.20830765622733693,11,72.0,0.32032439703404103,6,62.0,0.4394548956215069,11,210.0,0.2861023108711019,15,139.0,0.20461305481190878,10,107.0,0.19664784218860934,9,111.0,0.4019624198408467,7,32.0,0.22325462096615542,10,60.0,0.4347294645253239,14,114.0,0.2279934718127187,10,67.0,0.2840774937588863,7,87.0,0.37757303158464056,7,77.0,0.4534004369719008,11,116.0,0.22280300951684337,3,20.0,0.5011625761544958,142,1433.0,-0.8874999999999997
55.0,156,1736.0,5.105882352941176,4.17154155011932,6,89.0,0.40843518201237006,8,120.0,0.2458615156505878,8,90.0,0.3546281080734143,8,97.0,0.3704210686645629,9,243.0,0.3324502893158126,19,224.0,0.1541846647224013,12,164.0,0.1568121159882881,7,124.0,0.39274573995180273,7,52.0,0.2175261972807689,12,104.0,0.2605204348651321,15,160.0,0.28924421496765795,10,106.0,0.31083059000952445,10,132.0,0.3538290081799006,8,95.0,0.326207098366425,12,152.0,0.20945589759711747,5,37.0,0.443448105561189,156,1989.0,-0.9749999999999998
60.0,170,2191.0,5.953804347826087,3.8721919405986127,6,87.0,0.30604850364594177,9,155.0,0.36794779334094724,12,133.0,0.2642873497895817,8,89.0,0.24527389596816326,13,298.0,0.22243701882970723,19,311.0,0.20382202468037428,12,193.0,0.247101024270152,8,119.0,0.3195604755624587,7,76.0,0.3165443353210309,13,139.0,0.3616097784609325,12,176.0,0.24801773306438474,12,148.0,0.2941467006342581,12,188.0,0.27905299395617694,9,90.0,0.14882777829263855,13,212.0,0.1765131713870188,5,61.0,0.39607760043121343,170,2475.0,-1.0624999999999998
65.0,201,2667.0,6.617866004962779,3.811455502961085,10,130.0,0.3123492047148594,8,197.0,0.38981061107808124,13,189.0,0.278029043146835,10,132.0,0.2975159833083597,23,390.0,0.170004472971191,21,401.0,0.12872039421430573,9,208.0,0.36731499621686137,13,164.0,0.2065993175476258,8,90.0,0.3358802955610065,14,168.0,0.250403749609552,17,228.0,0.3249594172150394,11,175.0,0.3596412315714534,12,200.0,0.21642775098242448,12,118.0,0.14380067653880116,12,205.0,0.19183423829237706,8,96.0,0.3715668813120619,201,3091.0,-1.2562499999999996
70.0,222,3220.0,7.334851936218679,3.637645265700634,10,151.0,0.22207337844884528,12,247.0,0.28091912787628803,16,245.0,0.17402916290014844,11,179.0,0.21092680152458917,20,475.0,0.11961160920403709,20,486.0,0.16092935908654296,7,194.0,0.3615171321551024,15,224.0,0.2725856528141887,11,133.0,0.3087716271586288,19,211.0,0.23690208493171788,23,329.0,0.21327508875982998,12,181.0,0.41165624391977007,15,230.0,0.22640901516421477,10,141.0,0.38420741143914305,10,196.0,0.3051527985289435,11,141.0,0.2702945531193022,222,3763.0,-1.3874999999999997
75.0,257,4071.0,8.736051502145923,3.555042676057656,10,186.0,0.27358024037629763,17,320.0,0.24248916492378403,18,327.0,0.14028060482977114,12,239.0,0.27677489853162357,25,570.0,0.15449217325524156,27,603.0,0.22021299942361564,11,143.0,0.32797091616627705,19,310.0,0.19088466924180533,10,171.0,0.3382489913453684,20,296.0,0.14958023692262093,33,474.0,0.13834191795367956,12,170.0,0.361578842152472,17,313.0,0.2272993614177191,12,190.0,0.4268682676656237,5,205.0,0.3288665274613802,9,153.0,0.3380277301530848,257,4670.0,-1.6062499999999997
80.0,278,4537.0,9.092184368737476,3.4165639885363093,10,197.0,0.2297626909120158,21,413.0,0.20039365338548368,15,322.0,0.16163796084453422,15,304.0,0.2870638558764086,19,568.0,0.18359346579534042,30,738.0,0.24411007488861805,16,193.0,0.24340965483291863,22,407.0,0.14934029653818848,9,201.0,0.3526494469107045,22,385.0,0.23012066014184343,39,662.0,0.1360142108261565,10,154.0,0.32371447733968134,19,403.0,0.19202322011665207,13,203.0,0.28589934267105904,9,237.0,0.2406029729184507,9,144.0,0.35307590929978666,278,5531.0,-1.7374999999999996
85.0,279,4693.0,8.804878048780488,3.0624483738424098,12,181.0,0.24006081457589304,20,491.0,0.16791821717059016,14,280.0,0.16205279215421167,17,386.0,0.2155768179676508,13,468.0,0.25314231845258217,25,761.0,0.20239268183543235,18,251.0,0.2244417418645538,16,457.0,0.1642793707751322,10,224.0,0.3131613353814725,25,466.0,0.21287900124252623,41,856.0,0.14925641005163157,15,176.0,0.23989897896071216,16,428.0,0.19350850572128064,16,243.0,0.1963883621260239,10,254.0,0.1987112897028414,11,181.0,0.26532444350823,279,6103.0,-1.7437499999999997
90.0,287,5006.0,8.860176991150443,3.236234165897882,14,233.0,0.14436174646017408,21,574.0,0.25200334855160567,13,278.0,0.20404273886810878,17,436.0,0.26785520865836193,14,517.0,0.25391231915796847,30,741.0,0.1753468149830621,18,275.0,0.19075931679797542,16,479.0,0.21091063245117164,13,220.0,0.3095853517410514,26,526.0,0.208819261515387,36,959.0,0.16698780116818948,16,237.0,0.20782096403011557,13,399.0,0.24537157288227116,16,277.0,0.23199154917112086,11,238.0,0.1672913313444538,13,228.0,0.23285747069761675,287,6617.0,-1.7937499999999997
95.0,309,5625.0,9.437919463087248,3.1753360418184635,15,295.0,0.14328805961738447,26,690.0,0.19756915796583588,8,254.0,0.3054672944967059,16,439.0,0.23817185176303052,18,600.0,0.16285828617781062,30,816.0,0.2096032714409008,21,297.0,0.217638781624215,18,540.0,0.29362380955766276,18,210.0,0.10930847570301115,30,633.0,0.1870382463369289,36,1010.0,0.20350655454311867,20,317.0,0.20928036208544565,12,421.0,0.20171509892189732,13,310.0,0.21361193413604473,11,259.0,0.23140249852875083,17,302.0,0.23044138644143114,309,7393.0,-1.9312499999999995
100.0,335,6283.0,10.036741214057509,2.994855785355757,18,373.0,0.12539871862883584,30,838.0,0.276627027929875,11,209.0,0.24901766447326923,16,460.0,0.23596000559804603,18,659.0,0.19259753844890065,37,946.0,0.16477070493242826,25,403.0,0.19831349613810131,20,624.0,0.13548249559079512,22,289.0,0.12634900804752466,30,701.0,0.15210846044641296,40,1104.0,0.1719691252582378,19,368.0,0.220541513392599,11,411.0,0.19998353220125262,17,331.0,0.21152725199857497,7,269.0,0.3041363622197225,14,312.0,0.2209084784956057,335,8297.0,-2.0937499999999996
105.0,367,6947.0,10.992088607594937,2.7812287523116717,15,430.0,0.22886076333336802,31,901.0,0.15892169112775192,12,249.0,0.2532346191415957,16,435.0,0.2069806707931067,25,745.0,0.17995331259807018,42,1124.0,0.08412523233822644,28,511.0,0.13221511235345398,22,723.0,0.186944313846171,20,352.0,0.2012063735104538,28,689.0,0.21425698644490324,48,1314.0,0.1343540894997341,18,391.0,0.22592665592873204,13,412.0,0.20783000689893225,22,418.0,0.17916066163611521,12,287.0,0.3081804378601335,15,306.0,0.2199005804691872,367,9287.0,-2.2937499999999993
110.0,397,7724.0,12.378205128205128,2.3635627862315167,17,497.0,0.24640069792786196,33,907.0,0.09788115501583505,15,281.0,0.18643686304114826,16,432.0,0.19733754104520695,26,783.0,0.12341948504267478,44,1276.0,0.08832449998352268,31,632.0,0.1508427351817581,22,794.0,0.163346168633794,24,405.0,0.21641907366741792,25,694.0,0.14336994573263526,46,1458.0,0.11220741570915939,21,440.0,0.19648445524100508,17,489.0,0.16716659544560059,25,513.0,0.19875811221467027,18,316.0,0.13910079099260564,17,327.0,0.25911266552912343,397,10244.0,-2.4812499999999993
115.0,392,8066.0,12.9056,2.1462253702146454,19,591.0,0.2857139877516071,29,952.0,0.05644642238378016,17,350.0,0.051289084004881656,15,456.0,0.14420363540536382,29,792.0,0.0368310498859628,40,1397.0,0.08299050920428906,24,694.0,0.225331940495492,24,906.0,0.11819066942843662,24,512.0,0.1910756047480424,28,705.0,0.13098407497790027,45,1502.0,0.08624362675680325,19,468.0,0.18365101785936777,18,550.0,0.14454896003163245,23,599.0,0.21838592847301816,20,354.0,0.11114501745062733,18,398.0,0.2356234897290079,392,11226.0,-2.4499999999999993
120.0,405,8539.0,13.706260032102728,1.753775245789615,22,694.0,0.20057116733253036,23,912.0,0.07216646849643069,20,447.0,0.1357428723680548,19,540.0,0.0880033080939495,31,934.0,0.03509880215679623,44,1596.0,0.07252232259277382,27,692.0,0.15016994258545954,29,1045.0,0.07975298356015555,29,646.0,0.11181303302180323,30,742.0,0.09878376656224526,44,1572.0,0.10306001921278601,17,431.0,0.16844034078233858,18,610.0,0.12021877633988623,20,575.0,0.12045716314910322,14,377.0,0.18961081615205883,18,436.0,0.10282303702375381,405,12249.0,-2.5312499999999996
125.0,405,9186.0,14.816129032258065,1.6538037494102165,25,810.0,0.13177489696925754,22,924.0,0.10747860295754884,16,480.0,0.19634060065162043,22,593.0,0.023730420667601743,30,1083.0,0.05070313211728881,41,1762.0,0.09981142946854643,27,693.0,0.12382449063600347,27,1170.0,0.10969941810887192,29,722.0,0.0406053326949696,30,734.0,0.057504311283976345,43,1764.0,0.08486291138740035,20,474.0,0.14101188543865414,17,652.0,0.10233856354085473,20,496.0,0.1019303691475472,17,408.0,0.23664115247207898,19,482.0,0.058848708299891056,405,13247.0,-2.5312499999999996
