step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,3.6035460822749883,1,0.0,0.2376827185820473,1,0.0,-0.5
10.0,0,0.0,0.0,6.996169575170591,0,0.0,0.47942584884409606,0,0.0,0.0
15.0,2,0.0,0.0,8.857862630111196,2,0.0,0.6105186393469515,2,0.0,-1.0
20.0,4,0.0,0.0,9.576449705204041,4,0.0,0.6858432170606475,4,0.0,-2.0
25.0,1,0.0,0.0,11.298450704372186,1,0.0,0.8046526177224588,1,0.0,-0.5
30.0,4,6.0,0.17142857142857143,8.149705568940917,4,6.0,0.5848266776602393,4,6.0,-2.0
35.0,10,40.0,1.0,7.9069825020756195,10,40.0,0.5687827193063055,10,40.0,-5.0
40.0,9,60.0,1.3333333333333333,6.792156023973784,9,68.0,0.47588343047142123,9,68.0,-4.5
45.0,16,125.0,2.450980392156863,7.002157352276864,16,125.0,0.45321555771619176,16,125.0,-8.0
50.0,21,209.0,3.6666666666666665,6.962057611592562,21,209.0,0.42650936944067086,21,209.0,-10.5
55.0,22,308.0,5.133333333333334,6.308819494542046,22,308.0,0.369103299688678,22,308.0,-11.0
60.0,28,432.0,6.447761194029851,6.034599560304461,28,432.0,0.3378064209209813,28,432.0,-14.0
65.0,35,585.0,8.357142857142858,5.296300509378185,35,585.0,0.3120304775841232,35,585.0,-17.5
70.0,37,763.0,10.452054794520548,5.018680267816482,37,763.0,0.29891860846727625,37,763.0,-18.5
75.0,44,964.0,12.35897435897436,4.378998189736873,44,964.0,0.2622234920203907,44,964.0,-22.0
80.0,50,1192.0,14.36144578313253,3.8978392088190614,50,1192.0,0.23513136129517254,50,1192.0,-25.0
85.0,55,1448.0,16.837209302325583,3.5268696501781234,55,1448.0,0.2120019814862379,55,1448.0,-27.5
90.0,58,1728.0,18.782608695652176,3.5051811366408856,58,1728.0,0.20737020437774142,58,1728.0,-29.0
95.0,68,2037.0,20.785714285714285,3.13486325445142,68,2037.0,0.18921917875014332,68,2037.0,-34.0
100.0,70,2373.0,23.264705882352942,3.0068737388585225,70,2373.0,0.170543147202611,70,2373.0,-35.0
105.0,77,2734.0,26.038095238095238,2.649464842398441,77,2734.0,0.1534606382611682,77,2734.0,-38.5
110.0,78,2764.0,25.357798165137616,2.4555149954504505,78,2983.0,0.12812709990228124,78,2983.0,-39.0
115.0,73,2781.0,25.513761467889907,2.6376274338893917,73,3134.0,0.13150265883952503,73,3134.0,-36.5
120.0,72,2957.0,26.63963963963964,2.396995931726784,72,3477.0,0.10804978334934896,72,3477.0,-36.0
125.0,77,3303.0,29.23008849557522,2.651944484489021,77,3836.0,0.11049649748209385,77,3836.0,-38.5
130.0,85,3702.0,31.913793103448278,2.4650138168069295,85,4235.0,0.07668354975225651,85,4235.0,-42.5
135.0,90,4137.0,36.28947368421053,2.165617569415991,90,4670.0,0.08389785646144007,90,4670.0,-45.0
140.0,94,4598.0,39.982608695652175,1.977538172525152,94,5131.0,0.07795308427702435,94,5131.0,-47.0
145.0,95,5068.0,44.45614035087719,1.8221364350336189,95,5601.0,0.0653271088392349,95,5601.0,-47.5
150.0,97,5552.0,50.472727272727276,1.3693522572964651,97,6085.0,0.05078281336982349,97,6085.0,-48.5
155.0,93,5325.0,48.85321100917431,1.298023682117329,93,6317.0,0.04820623793896608,93,6317.0,-46.5
160.0,84,4773.0,44.19444444444444,1.6699225278203016,84,6296.0,0.05046545481076049,84,6296.0,-42.0
165.0,75,4452.0,41.60747663551402,1.6549508353029767,75,6676.0,0.03603450167880049,75,6676.0,-37.5
170.0,75,4398.0,42.28846153846154,1.7732170865981434,75,7046.0,0.03355847719047836,75,7046.0,-37.5
175.0,72,4378.0,42.50485436893204,1.7061152228408278,72,7412.0,0.027932342944749614,72,7412.0,-36.0
180.0,74,4563.0,46.09090909090909,1.2343638933862444,74,7774.0,0.024628645711660294,74,7774.0,-37.0
185.0,81,4951.0,51.572916666666664,0.6681055776310769,81,8164.0,0.00814134983170871,81,8164.0,-40.5
190.0,87,5369.0,58.358695652173914,0.023907551339230317,87,8582.0,0.0016447817128191725,87,8582.0,-43.5
195.0,92,5820.0,63.26086956521739,0.0008406795997445707,92,9033.0,6.015579517773894e-05,92,9033.0,-46.0
200.0,92,6280.0,68.26086956521739,4.846986826342712e-05,92,9493.0,3.1114007465135145e-06,92,9493.0,-46.0
205.0,86,6223.0,67.6413043478261,0.21801669877650345,86,9676.0,0.007168968004519591,86,9676.0,-43.0
