step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.3258483654143114,0,0.0,0.3078708276992053,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.1509559759121162,0,0.0,0.21851345442795517,0,0.0,0.23989528042755173,0,0.0,0.6092823009311096,0,0.0,0.4688153173862765,0,0.0,0.48474769111603966,1,0.0,0.1656075267415001,0,0.0,1.0,0,0.0,0.2840930508074268,0,0.0,0.2647709426743188,0,0.0,0.2869364548148547,0,0.0,0.15039386652874145,3,0.0,-0.11249999999999999
10.0,11,0.0,0.0,6.513662196129706,0,0.0,0.41661765147222884,1,0.0,0.2579270038465829,1,0.0,0.0,2,0.0,0.37094810498019304,2,0.0,0.489544788847558,0,0.0,0.5726791883761084,0,0.0,0.5984636095127878,0,0.0,0.6534485726307825,0,0.0,0.4885815631093568,1,0.0,0.4621076689112293,1,0.0,0.46006706024406846,0,0.0,1.0,1,0.0,0.4247924909635626,0,0.0,0.6493472370981122,2,0.0,0.31786689301082366,0,0.0,0.8782807039534214,11,0.0,-0.4125
15.0,9,0.0,0.0,8.340175493728658,2,0.0,0.4320302556702478,0,0.0,0.7770834562661619,1,0.0,0.34073782900486616,0,0.0,0.6999839849753264,1,0.0,0.6729136885836711,0,0.0,0.652023436612464,1,0.0,0.6494802981721413,0,0.0,0.6693780011351532,0,0.0,0.5745666413343248,0,0.0,0.6556058907736397,0,0.0,0.6739262316188964,2,0.0,0.2352571098285546,0,0.0,0.7023735718416126,1,0.0,0.7111917837925218,1,0.0,0.6324182169683262,0,0.0,0.6377537140601881,9,0.0,-0.33749999999999997
20.0,15,21.0,0.16535433070866143,8.246216775564392,0,0.0,0.6582374859041256,0,0.0,0.545595286507724,1,0.0,0.5758934466752708,1,0.0,0.7901920129219034,2,3.0,0.6337424841113218,1,3.0,0.5106524168934249,3,4.0,0.44085538561708254,1,0.0,0.5843731377300856,1,4.0,0.5857406464068361,1,3.0,0.5440900343174738,1,0.0,0.5573555798770068,0,0.0,0.7190667133375571,0,0.0,0.8694643966834968,1,1.0,0.43969210552612203,1,3.0,0.5074089763637779,1,0.0,0.5109901549043482,15,21.0,-0.5625
25.0,31,100.0,0.6329113924050633,7.528608976054837,0,0.0,0.7439409021311464,3,6.0,0.36014369397602547,1,1.0,0.7642126250545547,0,0.0,0.7791095604944771,5,18.0,0.5552254358240524,3,10.0,0.5200984469921125,2,12.0,0.4350056846546333,1,0.0,0.7144133845633908,2,11.0,0.5935413475167064,4,11.0,0.3456314779467994,4,13.0,0.2512737310643573,0,0.0,0.6941782330705689,1,1.0,0.6128613736475466,1,6.0,0.6329534397041541,4,13.0,0.4149798130916169,0,0.0,0.5813680003682113,31,102.0,-1.1624999999999999
30.0,57,285.0,1.4615384615384615,6.226238890460216,3,7.0,0.4138196828690728,3,20.0,0.46009458501645295,3,8.0,0.5757505784149335,2,3.0,0.5939545984912682,7,49.0,0.2552852519523915,4,24.0,0.43981124978670727,3,22.0,0.5771583114712594,1,2.0,0.6214334675274158,4,22.0,0.18562156134984212,6,39.0,0.4237153269976021,5,32.0,0.4151199582401507,3,3.0,0.36547327647094524,3,10.0,0.4765048837641129,1,11.0,0.63635033385956,6,33.0,0.3524872395567026,3,5.0,0.5840173205314045,57,290.0,-2.1374999999999997
35.0,77,489.0,2.163716814159292,5.782771431443785,7,36.0,0.3191289780583733,5,40.0,0.42083648377898,4,22.0,0.3893924594540299,3,15.0,0.4991270226560718,9,79.0,0.10534041452860303,8,48.0,0.4288139537409245,4,26.0,0.34732607745600313,4,11.0,0.40725363489656136,6,42.0,0.30273426163517303,9,75.0,0.3997153023290943,4,53.0,0.4994365867589392,4,16.0,0.4895772570414932,3,18.0,0.4846959551490592,3,9.0,0.4374226480950837,2,24.0,0.5735887734216725,2,10.0,0.5893431136812172,77,524.0,-2.8874999999999997
40.0,108,902.0,3.5511811023622046,5.337520979781672,8,72.0,0.23146846316008857,5,64.0,0.4275645572638164,6,46.0,0.42159204335590456,2,21.0,0.3425270730886125,11,111.0,0.18260322249738697,9,83.0,0.3946241048282261,7,51.0,0.3225726932522619,7,36.0,0.32939722631144713,6,73.0,0.45433273078795583,13,130.0,0.32313842728205944,9,84.0,0.3857163379423859,6,36.0,0.3722627753353267,7,48.0,0.414468625219955,6,32.0,0.2737529163824932,3,27.0,0.5152146728692845,3,21.0,0.65419715551178,108,935.0,-4.05
45.0,117,1149.0,4.133093525179856,4.662173215666002,7,93.0,0.22051393806543634,4,68.0,0.44346118155379577,7,79.0,0.4005018547188681,4,28.0,0.30690709047766085,7,116.0,0.3012749319061033,12,142.0,0.301623849154617,9,96.0,0.3275395808954824,8,74.0,0.3181950886281234,3,57.0,0.3886009145407818,12,160.0,0.21221405261281648,15,138.0,0.32282019827842606,8,68.0,0.2718192911427041,7,70.0,0.37170590628526917,5,53.0,0.320425670131019,5,48.0,0.26937731210188237,4,35.0,0.5366940486503206,117,1325.0,-4.3875
