step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.3503122723224807,1,0.0,0.06766743453702069,1,0.0,0.07513326466909381,0,0.0,0.1835768968258312,0,0.0,0.3544282180117351,2,0.0,-0.45
10.0,1,0.0,0.0,7.351557411215026,0,0.0,0.5164687988240109,0,0.0,0.6112693331054438,0,0.0,0.4936751606968129,1,0.0,0.5972602295942595,1,0.0,-0.225
15.0,1,0.0,0.0,9.074272606284193,0,0.0,0.7383791678137397,0,0.0,0.6423536128926379,0,0.0,0.8127202152051631,1,0.0,0.5359539670548152,1,0.0,-0.225
20.0,5,5.0,0.10869565217391304,9.306212033204526,1,0.0,0.7644292269485256,1,0.0,0.6773160994465032,0,0.0,0.827385519722061,3,5.0,0.5273557726059643,5,5.0,-1.125
25.0,6,19.0,0.35185185185185186,9.66507488060682,2,1.0,0.6578479111830008,0,0.0,0.8519069767906299,1,0.0,0.7663173612170769,3,20.0,0.6085661252750929,6,21.0,-1.35
30.0,15,59.0,0.9516129032258065,7.344116528109733,3,9.0,0.6113730963985818,4,7.0,0.45141806114752714,4,5.0,0.40055147047485284,4,40.0,0.5576317200511478,15,61.0,-3.375
35.0,24,130.0,1.7808219178082192,5.6389246176454835,4,16.0,0.5501273715752418,6,22.0,0.3893105260711183,5,25.0,0.4045215351138424,9,72.0,0.25063377625297173,24,135.0,-5.4
40.0,34,273.0,3.3292682926829267,5.648285683080257,11,53.0,0.3496838823799692,5,42.0,0.4352958408412034,7,55.0,0.409541476520377,11,128.0,0.38396066998240563,34,278.0,-7.65
45.0,40,407.0,4.625,5.327883760352416,12,100.0,0.30903199108016677,5,59.0,0.41359941480693757,8,90.0,0.4478916264225078,15,186.0,0.3560236489646705,40,435.0,-9.0
50.0,46,582.0,5.762376237623762,5.3114071613943725,12,162.0,0.34053934962499416,6,64.0,0.46136691983936934,12,116.0,0.34865791413410446,16,257.0,0.33483593917570675,46,599.0,-10.350000000000001
55.0,50,810.0,7.297297297297297,5.399159034826257,15,235.0,0.4333147120590462,6,83.0,0.4374384011440056,12,172.0,0.3218509053258304,17,338.0,0.24587810222580997,50,828.0,-11.25
60.0,61,998.0,8.24793388429752,4.51566068036508,14,272.0,0.2905919310570423,11,124.0,0.3870041273110223,15,238.0,0.30427463520061987,21,430.0,0.22697518525088328,61,1064.0,-13.725000000000001
65.0,61,1153.0,9.15079365079365,4.359971813758971,16,300.0,0.2043436364771363,8,166.0,0.4868605781644811,16,318.0,0.2881458059671734,21,485.0,0.20188267385549652,61,1269.0,-13.725000000000001
70.0,72,1461.0,10.902985074626866,3.914232824462878,18,368.0,0.1485344172236134,12,213.0,0.43515743212880137,18,404.0,0.27555099599535177,24,600.0,0.2352441068371075,72,1585.0,-16.2
75.0,87,1791.0,12.524475524475525,2.9974484311538765,22,467.0,0.17288808713791798,16,250.0,0.19787428332480209,22,502.0,0.23051121257614626,27,720.0,0.20717627368723518,87,1939.0,-19.575
80.0,97,2148.0,13.948051948051948,2.9347769317099828,25,588.0,0.19016409473777085,19,308.0,0.15981980285097125,20,554.0,0.2722345131823078,33,867.0,0.13379923409637434,97,2317.0,-21.825
85.0,104,2554.0,15.293413173652695,2.825938796683404,24,691.0,0.14042865622387835,23,398.0,0.18420365124316135,21,606.0,0.2601259652179726,36,1039.0,0.14516092829229982,104,2734.0,-23.4
90.0,116,3088.0,17.44632768361582,2.963315743932955,30,832.0,0.11124415747408778,22,489.0,0.24533219935907394,26,698.0,0.23231643230299595,38,1225.0,0.19885454419836995,116,3244.0,-26.1
95.0,123,3659.0,19.672043010752688,2.8886827391939924,32,985.0,0.1519926884598268,24,596.0,0.18729315968331745,29,833.0,0.19907207688099748,38,1413.0,0.2136924517551712,123,3827.0,-27.675
100.0,136,4301.0,22.28497409326425,2.5553691473638223,34,1150.0,0.18498114903001026,24,701.0,0.18183108079665572,33,992.0,0.18116437119963996,45,1625.0,0.1363660328197558,136,4468.0,-30.6
105.0,144,5000.0,25.906735751295336,2.3816076447132764,35,1320.0,0.17293731728272557,26,815.0,0.2022375245134991,35,1163.0,0.17796048590680344,48,1856.0,0.09695768185396797,144,5154.0,-32.4
110.0,155,5754.0,29.96875,1.639843403322401,40,1509.0,0.10061408964092661,28,951.0,0.15513534136719204,37,1344.0,0.06978555112699436,50,2104.0,0.05722072215528371,155,5908.0,-34.875
115.0,168,6569.0,34.39267015706806,1.0556177962919548,44,1721.0,0.04584959196820012,32,1106.0,0.1101450764576121,41,1540.0,0.0003608397320856506,51,2356.0,0.03953430881653236,168,6723.0,-37.8
120.0,178,7440.0,39.786096256684495,0.42745150008334515,47,1949.0,9.48907281494876e-06,36,1276.0,0.029126529866087224,42,1750.0,4.699353391800078e-07,53,2619.0,0.00029575448289404,178,7594.0,-40.050000000000004
125.0,181,8343.0,44.854838709677416,0.3344324623722768,47,2184.0,0.020154151133250812,38,1464.0,0.025101685461309017,42,1960.0,0.0,54,2889.0,0.0,181,8497.0,-40.725
130.0,181,9248.0,49.98918918918919,0.13055867523122883,47,2419.0,0.00021236657854224156,38,1654.0,0.0002475668404711652,42,2170.0,0.0,54,3159.0,0.0,181,9402.0,-40.725
135.0,183,10163.0,55.53551912568306,8.384071460747438e-06,48,2659.0,2.438532919883281e-06,39,1849.0,0.0,42,2380.0,0.0,54,3429.0,0.0,183,10317.0,-41.175000000000004
140.0,183,11078.0,60.53551912568306,0.0,48,2899.0,0.0,39,2044.0,0.0,42,2590.0,0.0,54,3699.0,0.0,183,11232.0,-41.175000000000004
145.0,183,11993.0,65.53551912568307,0.0,48,3139.0,0.0,39,2239.0,0.0,42,2800.0,0.0,54,3969.0,0.0,183,12147.0,-41.175000000000004
150.0,180,12710.0,69.4535519125683,0.052817810720931266,48,3379.0,0.0,39,2434.0,0.0,42,3010.0,0.0,51,4161.0,0.0044866194162059975,180,12984.0,-40.5
155.0,175,13331.0,72.84699453551913,0.2735329136803257,48,3619.0,0.00012634119386390936,39,2631.0,0.04096072209608756,42,3220.0,0.0,46,4279.0,0.02226525634459926,175,13749.0,-39.375
160.0,175,14162.0,77.3879781420765,0.16887313885779115,47,3812.0,0.005587072669068453,39,2826.0,0.026244695728768346,42,3430.0,0.0,47,4513.0,0.015199373910048622,175,14581.0,-39.375
165.0,181,15059.0,82.2896174863388,0.06126449020640157,48,4051.0,5.511549859285195e-06,41,3028.0,0.017847379997921624,42,3640.0,0.0,50,4759.0,0.0003462427345884839,181,15478.0,-40.725
170.0,182,15968.0,87.2568306010929,0.0011409651839241054,48,4291.0,0.0,41,3233.0,0.000339688865638059,42,3850.0,0.0,51,5013.0,2.0738641483183132e-07,182,16387.0,-40.95
175.0,183,16883.0,92.2568306010929,1.5851143574134726e-05,48,4531.0,0.0,42,3443.0,4.722511537204353e-06,42,4060.0,0.0,51,5268.0,0.0,183,17302.0,-41.175000000000004
180.0,183,17798.0,97.2568306010929,0.0,48,4771.0,0.0,42,3653.0,0.0,42,4270.0,0.0,51,5523.0,0.0,183,18217.0,-41.175000000000004
185.0,183,18713.0,102.2568306010929,0.0,48,5011.0,0.0,42,3863.0,0.0,42,4480.0,0.0,51,5778.0,0.0,183,19132.0,-41.175000000000004
190.0,183,19628.0,107.2568306010929,0.0,48,5251.0,0.0,42,4073.0,0.0,42,4690.0,0.0,51,6033.0,0.0,183,20047.0,-41.175000000000004
195.0,183,20543.0,112.2568306010929,0.0,48,5491.0,0.0,42,4283.0,0.0,42,4900.0,0.0,51,6288.0,0.0,183,20962.0,-41.175000000000004
200.0,183,21458.0,117.2568306010929,0.0,48,5731.0,0.0,42,4493.0,0.0,42,5110.0,0.0,51,6543.0,0.0,183,21877.0,-41.175000000000004
205.0,183,22373.0,122.2568306010929,0.0,48,5971.0,0.0,42,4703.0,0.0,42,5320.0,0.0,51,6798.0,0.0,183,22792.0,-41.175000000000004
210.0,183,23288.0,127.2568306010929,0.0,48,6211.0,0.0,42,4913.0,0.0,42,5530.0,0.0,51,7053.0,0.0,183,23707.0,-41.175000000000004
215.0,183,24203.0,132.2568306010929,0.0,48,6451.0,0.0,42,5123.0,0.0,42,5740.0,0.0,51,7308.0,0.0,183,24622.0,-41.175000000000004
220.0,183,25118.0,137.2568306010929,0.0,48,6691.0,0.0,42,5333.0,0.0,42,5950.0,0.0,51,7563.0,0.0,183,25537.0,-41.175000000000004
225.0,180,25565.0,139.69945355191257,0.06473377038061244,45,6746.0,0.006849260025226734,42,5543.0,0.0,42,6162.0,0.01065806142782042,51,7818.0,0.0,180,26269.0,-40.5
230.0,172,25278.0,138.13114754098362,0.3071403264925068,40,6611.0,0.021808338056957272,42,5753.0,0.0,39,6222.0,0.05310472523969796,51,8073.0,0.0,172,26659.0,-38.7
235.0,164,24932.0,136.24043715846994,0.5984906386089431,37,6800.0,0.03033206683346769,42,5963.0,0.0,34,6128.0,0.08096248058848808,51,8330.0,0.03234467381643526,164,27221.0,-36.900000000000006
240.0,169,25768.0,140.8087431693989,0.4558239491260376,41,7000.0,0.010880645837241732,42,6173.0,0.0,35,6164.0,0.041130915412323214,51,8585.0,0.05519629063565632,169,27922.0,-38.025
