step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,4,0.0,0.0,3.1512323704911975,0,0.0,0.126379227585608,1,0.0,0.17932540167879918,1,0.0,0.30758495098911703,0,0.0,0.13948963156988223,0,0.0,0.3468702090439506,0,0.0,1.0,0,0.0,0.3357985606330089,1,0.0,0.08070563988475499,1,0.0,0.24066696431012333,-0.133,4,4,0.0
10.0,7,0.0,0.0,6.728602472038445,1,0.0,0.33461719732035355,2,0.0,0.506850733989271,0,0.0,0.8580544163850513,1,0.0,0.3006765109945123,0,0.0,0.6495261454778122,2,0.0,0.19518486412062963,0,0.0,0.7304139455443212,0,0.0,0.494932887049072,1,0.0,0.5092508331704443,-0.233,7,7,0.0
15.0,8,0.0,0.0,8.736234993668784,1,0.0,0.5110845651340559,1,0.0,0.5777839373174113,0,0.0,0.7231736467022141,2,0.0,0.5620680881654824,1,0.0,0.5618976881838483,2,0.0,0.515811291866028,0,0.0,0.9187961837327061,0,0.0,0.9161247152431263,1,0.0,0.6793653174349135,-0.267,8,8,0.0
20.0,12,17.0,0.19318181818181818,8.469832420258706,2,2.0,0.6415672657869305,3,6.0,0.5105219441504945,2,0.0,0.5867999290479129,0,0.0,0.8460912185792622,3,8.0,0.4862902054218574,0,0.0,0.683242087678403,0,0.0,0.6044661677266847,1,1.0,0.5875844322812596,1,0.0,0.6070259381510601,-0.4,12,12,17.0
25.0,22,77.0,0.7129629629629629,7.32323714177728,2,8.0,0.5670689148131948,6,26.0,0.4740358279253282,1,1.0,0.5732110513100135,2,2.0,0.642880493223901,3,18.0,0.4153739645833685,2,3.0,0.6151269786529696,0,0.0,0.6294255484896125,4,13.0,0.42463350093764657,2,6.0,0.5462993055450266,-0.733,22,22,77.0
30.0,42,217.0,1.5611510791366907,6.166879600415225,5,21.0,0.5439129433441837,8,61.0,0.35951083629848457,4,8.0,0.47517603509955814,4,16.0,0.3306403562147535,4,36.0,0.4110618418334275,5,16.0,0.4937923875305758,0,0.0,0.5163650698041903,5,33.0,0.3206071716681246,7,26.0,0.4552633386846531,-1.4,42,42,217.0
35.0,55,402.0,2.451219512195122,5.714463631262978,6,46.0,0.4487200427202565,12,112.0,0.3299815095107254,4,24.0,0.5741265836107626,4,30.0,0.3926132902226067,8,66.0,0.44601626885886475,9,52.0,0.41940529408214755,1,4.0,0.5534800893232067,4,40.0,0.302094797190087,7,41.0,0.3219628771699928,-1.833,55,55,415.0
40.0,69,615.0,3.236842105263158,5.139561773109983,11,89.0,0.2698884076674166,12,159.0,0.30314417764661483,3,30.0,0.5804715553028417,6,47.0,0.45914704947090335,9,101.0,0.3336509455133853,9,91.0,0.3424339228588862,5,12.0,0.39082384843392054,6,55.0,0.380299797991984,8,77.0,0.39410858927229186,-2.3,69,69,661.0
45.0,81,914.0,4.415458937198068,5.077043758453913,15,153.0,0.14315776930784516,15,222.0,0.2664217519666788,4,46.0,0.546593070173267,6,75.0,0.4625079514018367,8,125.0,0.43420357259893216,13,128.0,0.371492840499867,2,13.0,0.46801493227874896,5,58.0,0.4449048100031875,13,129.0,0.3247149341661734,-2.7,81,81,949.0
