step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.966794895550768,1,0.0,0.0921304535126309,1,0.0,0.10123520446925574,0,0.0,0.29382301442491127,0,0.0,0.37428714051615974,2,0.0
10.0,2,0.0,0.0,7.305793358196723,0,0.0,0.5255978186751734,0,0.0,0.64673367980007,1,0.0,0.45469814149739124,1,0.0,0.5431202428577644,2,0.0
15.0,3,1.0,0.02857142857142857,8.664947520614723,0,0.0,0.653372205516312,1,0.0,0.5758340230299123,0,0.0,0.8105664790429167,2,1.0,0.5251411409494003,3,1.0
20.0,7,9.0,0.19148936170212766,9.005978499440332,1,0.0,0.7526774731097703,2,1.0,0.6670585281445717,0,0.0,0.850988497222131,4,8.0,0.4661702067621679,7,9.0
25.0,5,29.0,0.5471698113207547,9.436449799066656,0,0.0,0.6783691006093845,1,6.0,0.7563321622405204,1,0.0,0.7766528578879479,3,23.0,0.5901234248543085,5,29.0
30.0,16,74.0,1.2333333333333334,7.300137822962523,3,8.0,0.6573816310040068,4,18.0,0.42635309776252023,3,4.0,0.4158907507091036,6,44.0,0.5357102850422979,16,74.0
35.0,27,167.0,2.287671232876712,5.524973811470971,6,24.0,0.49149320434331123,8,46.0,0.36321457578555133,4,20.0,0.34379447231601773,9,77.0,0.3281185787897679,27,167.0
40.0,37,322.0,3.8795180722891565,5.337703878498714,11,65.0,0.38807764998012173,8,84.0,0.33251465929345114,7,49.0,0.41228165905694847,11,124.0,0.3163600220295533,37,322.0
45.0,46,526.0,5.9772727272727275,4.9172500223689175,13,122.0,0.2953158766101363,12,136.0,0.30614592622343495,7,84.0,0.46071585015076544,14,184.0,0.3444573297679103,46,526.0
50.0,55,751.0,7.362745098039215,4.65223483416548,15,192.0,0.31453771311455947,16,203.0,0.2546880722788826,10,114.0,0.38728394365908514,14,246.0,0.36633388106680814,55,755.0
55.0,58,1025.0,9.070796460176991,4.290130652133437,18,277.0,0.34800140759037124,16,278.0,0.24244543109552558,10,160.0,0.321019184086675,14,314.0,0.2958644619712285,58,1029.0
60.0,74,1348.0,10.959349593495935,3.9685376610701173,21,371.0,0.3036971920720705,18,360.0,0.26426066468474346,15,225.0,0.31500622409807494,20,396.0,0.21922568800415446,74,1352.0
65.0,77,1690.0,13.10077519379845,3.7422839980670375,23,482.0,0.15889803907873207,21,452.0,0.28566478665304734,13,279.0,0.3379217186963541,20,492.0,0.24957494132088429,77,1705.0
70.0,91,2103.0,15.021428571428572,2.9683505326544335,30,617.0,0.0320818038176867,21,552.0,0.1771499194471199,14,334.0,0.31452571761442677,26,607.0,0.2328046480319151,91,2110.0
75.0,103,2573.0,17.385135135135137,2.8174733876474023,31,770.0,0.09642869469363068,26,673.0,0.10902115211771496,17,403.0,0.29701116082926476,29,741.0,0.21360455545155846,103,2587.0
80.0,112,3104.0,19.52201257861635,2.5337448891528247,31,925.0,0.1527453749670233,27,803.0,0.0694824183103868,19,483.0,0.2896967263060884,35,902.0,0.1465129634807939,112,3113.0
85.0,127,3690.0,21.329479768786126,2.4757559399900813,32,1082.0,0.1307255040930156,30,943.0,0.12755508472211283,23,583.0,0.27819302492087816,42,1092.0,0.15310334167309453,127,3700.0
90.0,127,4105.0,22.932960893854748,2.1342981133619414,34,1245.0,0.080416804411263,30,1087.0,0.16143048852644695,20,592.0,0.2476726979076813,43,1302.0,0.11129386976457122,127,4226.0
95.0,134,4723.0,24.727748691099478,2.4276702415147513,35,1422.0,0.13953700980924205,33,1246.0,0.14713667125100635,20,572.0,0.26686977099568565,46,1530.0,0.14161451875504427,134,4770.0
100.0,148,5421.0,26.970149253731343,2.1468691672170945,39,1607.0,0.11895847684056765,36,1418.0,0.11466509165797283,23,676.0,0.2390142622938349,50,1772.0,0.14957336270910407,148,5473.0
