step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.8255182529169627,1,0.0,0.0,0,0.0,0.2009269271094728,2,0.0,0.17939681792894988,0,0.0,1.0,0,0.0,0.24990836316141474,0,0.0,0.130683461445885,0,0.0,1.0,0,0.0,0.2679144564955898,0,0.0,0.18762717988922947,1,0.0,0.08102310994283274,0,0.0,0.21953851362510768,1,0.0,0.07353435845637195,1,0.0,0.20861087979708293,0,0.0,0.31674118911834576,0,0.0,0.25230241512800833,0,0.0,0.31597740736292385,-0.113,6,6,0.0
10.0,9,0.0,0.0,7.195352477757289,0,0.0,0.4931611743940607,0,0.0,0.6803615574563636,2,0.0,0.5358750090706722,1,0.0,0.3268198700778014,1,0.0,0.3690646192739851,0,0.0,0.5837186281280262,1,0.0,0.17104093844161175,0,0.0,0.6798916375267151,0,0.0,0.7388011509342635,0,0.0,0.5592738341991488,0,0.0,0.611074459134619,0,0.0,0.4485663084532946,1,0.0,0.40231023715263226,1,0.0,0.4249057957889993,0,0.0,0.555556518506578,2,0.0,0.5231014276118967,-0.169,9,9,0.0
15.0,7,0.0,0.0,8.856680276300049,0,0.0,0.81139011593003,1,0.0,0.5835134051319694,0,0.0,0.7033767989321474,0,0.0,0.5146044475851085,0,0.0,0.6715680626887953,1,0.0,0.6076344651113732,1,0.0,0.5270841283785871,1,0.0,0.5280793290821176,0,0.0,0.6668270207221384,0,0.0,0.767050961751423,0,0.0,0.5934783096111816,0,0.0,0.7985382445876373,0,0.0,0.6410408563658976,1,0.0,0.6512383794302807,1,0.0,0.4858116965314159,1,0.0,0.5543859215257472,-0.131,7,7,0.0
20.0,36,35.0,0.18421052631578946,7.719220992787472,1,0.0,0.5659885010762403,2,3.0,0.6036368166184374,2,4.0,0.6088104288940518,2,0.0,0.6046850410306042,2,5.0,0.5778877797234221,1,1.0,0.5787809380696711,1,0.0,0.6035124460796274,5,1.0,0.3954954773906081,3,3.0,0.4781807070746775,2,1.0,0.43923468282552897,4,9.0,0.4696417888192173,3,0.0,0.5560553124402474,0,0.0,0.7810839122981295,2,0.0,0.5101019986314456,2,4.0,0.5986034043460534,4,4.0,0.5273359917609953,-0.675,36,36,35.0
25.0,56,206.0,0.8879310344827587,7.308323632065776,2,5.0,0.5798681589928097,4,17.0,0.557286224513476,7,25.0,0.28913822548411744,0,0.0,0.6812640530534503,4,17.0,0.593535900612142,3,9.0,0.5014421794056213,4,5.0,0.5779134945738978,2,8.0,0.5842749363143136,4,13.0,0.53309558717661,6,22.0,0.43271924825624763,5,32.0,0.5149050015243847,4,7.0,0.37129540032097147,2,3.0,0.7185323897058233,3,10.0,0.47878373524037454,3,17.0,0.5070975366315701,3,16.0,0.4734298816522225,-1.05,56,56,206.0
30.0,93,523.0,1.7849829351535835,6.22044637909963,4,10.0,0.539921966113637,10,45.0,0.3435506700855722,9,66.0,0.27312491470237005,4,5.0,0.5790540061269891,4,33.0,0.5789283457365763,4,23.0,0.3914268463301026,3,15.0,0.5068851445391496,6,26.0,0.34219429620434516,5,33.0,0.5539288657833717,7,50.0,0.3956798161316518,8,67.0,0.2968895766616738,6,30.0,0.5197797005967872,3,9.0,0.5152303219370961,7,33.0,0.3465279751885403,7,41.0,0.4249265702703712,6,37.0,0.47490357888151546,-1.744,93,93,523.0
35.0,130,1011.0,3.0089285714285716,5.546643781584668,3,19.0,0.5840146493153462,14,103.0,0.30381682416212785,10,112.0,0.25855413174685216,5,18.0,0.5083069349824006,8,60.0,0.4019885149157103,6,48.0,0.39224303550461814,8,40.0,0.42845094840000686,9,65.0,0.2666314497471299,6,57.0,0.48660302414940004,11,89.0,0.3328222465724843,14,128.0,0.27459078972654316,6,55.0,0.35315497137881174,6,32.0,0.4041056371687328,8,53.0,0.36605031227929596,9,74.0,0.4615704797851398,7,66.0,0.5356709605832359,-2.438,130,130,1019.0
40.0,176,1754.0,4.567708333333333,4.604479184913848,4,35.0,0.5659538999398858,16,178.0,0.2679539273777304,13,166.0,0.32161809103054156,7,44.0,0.4274509075779844,12,110.0,0.2241105786785413,11,88.0,0.31062817865269077,12,88.0,0.2838004318958605,12,121.0,0.3240281283060581,11,101.0,0.19681708462767253,14,154.0,0.2984139371286615,18,207.0,0.20244905714346245,10,97.0,0.3186210751715467,7,64.0,0.37719157328626424,11,99.0,0.23692448933014187,9,114.0,0.36540791310196974,9,104.0,0.425592572796412,-3.3,176,176,1770.0
45.0,234,2759.0,6.46135831381733,4.007647600907773,8,66.0,0.4905823678017519,21,273.0,0.1700538652856217,12,222.0,0.2920540627293813,11,89.0,0.36190650711066813,14,177.0,0.23629591358186774,13,144.0,0.24841896925340656,20,167.0,0.19069665254650023,15,184.0,0.33941183677212716,13,165.0,0.2203932852553237,20,245.0,0.2681076560702791,20,298.0,0.2758502837439973,13,153.0,0.2030546001795301,10,107.0,0.2149105504825653,14,161.0,0.2612574303662134,16,175.0,0.37749030136248085,14,161.0,0.32066279422187177,-4.388,234,234,2787.0
