step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.7268984066103314,1,0.0,0.0,0,0.0,0.19366116364294034,2,0.0,0.15866231605287276,0,0.0,1.0,0,0.0,0.33106744122530113,0,0.0,0.14239233740367624,0,0.0,1.0,0,0.0,0.25267456163752555,0,0.0,0.22086189243484866,1,0.0,0.10250336258478543,0,0.0,0.21018367548148814,1,0.0,0.05822015180806506,1,0.0,0.18508706965303048,0,0.0,0.24528703123268775,0,0.0,0.26707185411796597,0,0.0,0.3884796503209016,-0.113,6,6,0.0
10.0,9,0.0,0.0,6.8898317676474585,0,0.0,0.39796703026627633,0,0.0,0.6541306783381567,2,0.0,0.5055231390326343,1,0.0,0.31746101376753844,1,0.0,0.3953451505004346,0,0.0,0.4842472559267695,1,0.0,0.27087237950576765,0,0.0,0.7029202823282348,0,0.0,0.7931930185590055,0,0.0,0.49936025722920124,0,0.0,0.5854260050916196,0,0.0,0.4885201440445269,1,0.0,0.40060471507416157,1,0.0,0.4099652445278676,0,0.0,0.578142259584532,2,0.0,0.5668589632921972,-0.169,9,9,0.0
15.0,6,0.0,0.0,9.26458791959345,0,0.0,0.8003970366942095,1,0.0,0.6703788184934621,0,0.0,0.7813586062701674,0,0.0,0.5727171111288489,0,0.0,0.7260491057133635,1,0.0,0.5973052398644367,1,0.0,0.4935651037279034,1,0.0,0.6185051105962692,0,0.0,0.8072157317917193,0,0.0,0.8267325585751388,0,0.0,0.6232303983977266,0,0.0,0.7960459096481243,0,0.0,0.6487218621926615,0,0.0,0.7436037991352231,1,0.0,0.5187669445432772,1,0.0,0.5988596454138355,-0.113,6,6,0.0
20.0,36,38.0,0.20105820105820105,7.801372661685545,1,0.0,0.5805784542181492,2,4.0,0.6898269232417051,3,5.0,0.5689044942889925,2,0.0,0.6028525354257129,1,1.0,0.6178490579642671,1,2.0,0.5812114188496871,1,0.0,0.6196678295077649,5,1.0,0.40095239530408916,3,4.0,0.5749591865955741,3,3.0,0.44146511750649464,3,7.0,0.44598067961274024,3,0.0,0.5963373255557273,0,0.0,0.7901862015810504,2,2.0,0.5535344146703048,2,4.0,0.6416602164189925,4,5.0,0.5549134436131817,-0.675,36,36,38.0
25.0,51,208.0,0.9004329004329005,7.289139947370468,3,4.0,0.5792933756817307,3,16.0,0.5497876703150835,5,28.0,0.24934455179617332,0,0.0,0.7290144179026959,4,12.0,0.5666620276343697,3,12.0,0.4699528918129934,3,4.0,0.5807073175976347,2,9.0,0.6407982140231726,3,14.0,0.5624549672646357,5,23.0,0.4152966491757882,6,33.0,0.49628714206203123,4,6.0,0.41346216674009545,1,3.0,0.7182823298881109,3,13.0,0.41155725941144056,3,16.0,0.4877728540486087,3,15.0,0.5110542349192634,-0.956,51,51,208.0
30.0,84,470.0,1.598639455782313,6.129711303219088,4,11.0,0.5193814249468784,7,42.0,0.4048879723807164,5,41.0,0.3452515016949415,4,4.0,0.5534583922632537,4,29.0,0.4729111300486909,4,27.0,0.34902592475315886,4,16.0,0.49588450197813866,6,24.0,0.34548533454394664,3,27.0,0.5845125609985222,6,50.0,0.3832204686006574,10,68.0,0.285654549260106,6,29.0,0.49864303241300034,3,9.0,0.48022159192350916,6,37.0,0.39810017360774086,7,38.0,0.4489374840109665,5,32.0,0.4587639779776187,-1.575,84,84,484.0
35.0,126,912.0,2.7142857142857144,5.56059210958466,4,23.0,0.5595947415702693,13,92.0,0.31624552244430365,6,60.0,0.2687639660017023,6,20.0,0.4637865801048514,9,62.0,0.416422791090305,4,33.0,0.46962721196467977,6,39.0,0.4176559283118758,11,61.0,0.26361140965467406,7,56.0,0.39736425811254555,10,86.0,0.34946315718221854,13,126.0,0.29703327720098194,7,56.0,0.3648669419875824,6,29.0,0.41080027326462293,8,57.0,0.3754719186330033,8,69.0,0.43211674590453847,8,60.0,0.5188256187139609,-2.362,126,126,929.0
40.0,173,1590.0,4.140625,4.782741818997654,6,49.0,0.5830313948442003,16,167.0,0.2498577684273645,9,81.0,0.35672653876762234,10,56.0,0.39529757659142584,11,109.0,0.34033667764829706,8,51.0,0.3701961880102726,11,83.0,0.326138717182893,9,101.0,0.3568048409850939,12,108.0,0.19790185700878585,13,145.0,0.3302666609323773,18,197.0,0.22968028587650235,10,98.0,0.27782681896463973,10,66.0,0.36734470508230305,9,90.0,0.23494846671361772,11,111.0,0.37075528206474134,10,97.0,0.404930873701991,-3.244,173,173,1609.0
45.0,224,2486.0,5.78139534883721,3.962066352286254,8,83.0,0.5028135921994887,21,256.0,0.13810550373213254,8,117.0,0.37798597546135204,10,90.0,0.3265665867905781,17,177.0,0.2147446610133148,9,84.0,0.30053887948798585,19,153.0,0.2949319842081784,11,144.0,0.3429123110412365,18,185.0,0.11313983115444054,19,223.0,0.25787696745110356,19,286.0,0.24775947763193054,12,155.0,0.2494244736345966,11,107.0,0.16218715865650346,14,148.0,0.2722203203775832,16,172.0,0.3388309681089864,12,149.0,0.278666501198536,-4.2,224,224,2529.0
50.0,271,3568.0,7.559322033898305,3.6666122996032753,11,132.0,0.3060291556858096,22,364.0,0.14767818623748474,11,161.0,0.3614282274265602,15,136.0,0.3439240138934677,18,258.0,0.16050725866933038,12,133.0,0.4037799002300196,20,242.0,0.24496104734225552,11,145.0,0.33868763924266804,20,280.0,0.18510185551262992,25,333.0,0.17989485913642986,22,392.0,0.2783613575933629,14,220.0,0.26826533692656124,16,173.0,0.13936607425219974,15,215.0,0.3346396924424066,19,251.0,0.3025368369048173,20,233.0,0.11949034768278242,-5.081,271,271,3668.0
