step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.8692848761833045,1,0.0,0.0,0,0.0,0.2044410946136629,2,0.0,0.1633605815204135,0,0.0,1.0,0,0.0,0.24002726992022985,0,0.0,0.13201893125982375,0,0.0,1.0,0,0.0,0.27838909530438527,0,0.0,0.1934458390812085,1,0.0,0.0797335604968498,0,0.0,0.23694284766247167,1,0.0,0.05547696216596059,1,0.0,0.1789377229469785,0,0.0,0.25655981002845435,0,0.0,0.2796903667236705,0,0.0,0.3900253183593325,-0.113,6,6,0.0
10.0,9,0.0,0.0,7.072513501028076,0,0.0,0.3782880516475874,0,0.0,0.6097435669179904,2,0.0,0.5416935269020603,1,0.0,0.2913762339222434,1,0.0,0.37278920851878944,0,0.0,0.552259419164659,1,0.0,0.29535934416531295,0,0.0,0.6797247848062367,0,0.0,0.7621325524150855,0,0.0,0.5261437631910857,0,0.0,0.5743161034117552,0,0.0,0.44413776992635035,1,0.0,0.42575452036169026,1,0.0,0.4323909585511672,0,0.0,0.5673969735036253,2,0.0,0.5557010729634939,-0.169,9,9,0.0
15.0,7,0.0,0.0,8.839983810311908,0,0.0,0.7604007847939711,0,0.0,0.6487424622806492,0,0.0,0.7097292055066866,1,0.0,0.44725372702789884,0,0.0,0.66368574238259,1,0.0,0.6073335116946038,1,0.0,0.486622895932342,1,0.0,0.5561460383709423,0,0.0,0.6782792712816507,0,0.0,0.7629684468733058,0,0.0,0.6210582155868213,0,0.0,0.7938532613423306,0,0.0,0.6591777547098665,0,0.0,0.733152270427522,2,0.0,0.46179831354668033,1,0.0,0.5914771807344466,-0.131,7,7,0.0
20.0,31,31.0,0.164021164021164,7.694051599781962,1,0.0,0.566317637729019,2,5.0,0.6242693477465218,1,3.0,0.5964223958169672,2,0.0,0.6188702277337573,2,4.0,0.5931688569549376,0,0.0,0.5586228721786314,1,0.0,0.6115286155997074,3,0.0,0.382772593861943,3,3.0,0.4663584352596135,3,4.0,0.43295678989991415,3,4.0,0.45498885473971534,3,0.0,0.5490970535862065,0,0.0,0.8055165460614624,1,0.0,0.5177140290734866,2,3.0,0.5895153569380619,4,5.0,0.5239187352796427,-0.581,31,31,31.0
25.0,55,186.0,0.7914893617021277,7.070157242583746,3,4.0,0.5836072274042442,4,16.0,0.5497520868086861,5,23.0,0.2558171790868046,0,0.0,0.6634584342256146,2,14.0,0.581713508350578,3,8.0,0.47652751982139535,4,2.0,0.4731109804230735,2,5.0,0.5562026218916124,3,13.0,0.5619517797660716,7,24.0,0.4556604354371291,6,27.0,0.4522649603334429,4,7.0,0.3679865832410658,2,2.0,0.6556926897213432,3,10.0,0.45391466385430357,3,15.0,0.5413595918181416,4,16.0,0.4400159050388367,-1.031,55,55,186.0
30.0,85,475.0,1.6156462585034013,6.156877136568737,3,9.0,0.5344042496432594,9,44.0,0.3872177926741293,8,61.0,0.28828220069154864,4,6.0,0.5184933671872143,4,28.0,0.5041442191355195,5,22.0,0.36623139729242893,2,11.0,0.5093652073405496,6,22.0,0.4008951427838101,5,32.0,0.5473599971565252,6,49.0,0.4113764712058076,10,63.0,0.28064989235108223,6,29.0,0.5592832441086095,3,8.0,0.5512996872006651,4,25.0,0.37951623110454674,6,34.0,0.39601150132724205,4,35.0,0.48082437042480886,-1.594,85,85,478.0
35.0,128,950.0,2.8106508875739644,5.472491420928206,5,18.0,0.5260569264713141,11,91.0,0.357795061667721,9,106.0,0.22506625493629726,7,24.0,0.4389705039324731,9,58.0,0.41214979222621845,6,49.0,0.45163114263934284,5,32.0,0.4726159900481134,6,44.0,0.31179050771462574,8,64.0,0.39312121358937446,11,86.0,0.32012783636940356,13,119.0,0.3027507687709709,8,56.0,0.37245972381018555,5,27.0,0.40673120290186965,8,49.0,0.35807475167298436,9,67.0,0.4634520560094583,8,64.0,0.48120736521815166,-2.4,128,128,954.0
40.0,174,1617.0,4.221932114882507,4.6605086121014185,6,44.0,0.5694310159909437,17,162.0,0.29209943890824414,13,158.0,0.27650444492322473,9,56.0,0.3682229812786905,12,107.0,0.32569563287751907,9,84.0,0.26810928553138336,11,74.0,0.35984773461439723,10,92.0,0.35845324111730537,13,118.0,0.21248635415151615,15,152.0,0.26692099793764984,11,147.0,0.27012393323999767,10,99.0,0.2893090867509577,8,57.0,0.3756834686892634,11,95.0,0.25656015144038946,9,107.0,0.41114740965730057,10,106.0,0.4268195626347099,-3.262,174,174,1658.0
45.0,227,2544.0,5.971830985915493,3.9448722006703556,9,81.0,0.4670787286290974,21,255.0,0.16348217348319483,10,195.0,0.31271236428001464,14,113.0,0.3272956607263198,12,162.0,0.24006280442339575,13,140.0,0.22586749760900623,15,136.0,0.2794454823271459,12,144.0,0.36010874295554623,16,193.0,0.1789824878380084,21,240.0,0.2824823597763951,14,178.0,0.2673905444322518,14,156.0,0.23268865581003717,10,101.0,0.16022550054269663,15,151.0,0.2964289456127685,17,166.0,0.3744998938046844,14,165.0,0.2326533506612021,-4.256,227,227,2576.0
50.0,270,3622.0,7.789247311827957,3.507414901619105,11,132.0,0.2917391997310578,23,365.0,0.09985374059307857,13,251.0,0.3312355097107606,19,193.0,0.2991083104823482,20,238.0,0.13615428382880643,17,215.0,0.30501789898437504,13,185.0,0.2752295048784974,16,207.0,0.25540864659858414,19,281.0,0.14875019597246353,21,300.0,0.18756758801080387,15,254.0,0.2972079305010934,13,217.0,0.2722086813044431,16,164.0,0.1476629596910448,14,216.0,0.3532788971077449,19,249.0,0.33699314811941866,21,256.0,0.17722083555356405,-5.062,270,270,3723.0
55.0,312,5011.0,9.768031189083821,3.3191525439534333,17,200.0,0.23542879444204357,25,486.0,0.12252551715375387,13,306.0,0.29954492155209744,21,291.0,0.29074334250765277,23,345.0,0.19884950593771686,17,297.0,0.24760046177332418,19,214.0,0.2919791881190441,15,283.0,0.26433976913683205,21,384.0,0.17139738479290598,27,398.0,0.18746015176644296,21,348.0,0.3166567921358845,18,291.0,0.1332040868927874,13,220.0,0.23108181914198378,15,284.0,0.33341248168888377,23,357.0,0.21363542357224907,24,367.0,0.13225715383827524,-5.85,312,312,5071.0
60.0,351,6619.0,11.798573975044564,3.214212823569165,17,280.0,0.20457597223326154,27,616.0,0.1257863778828112,15,373.0,0.2372837156079117,25,408.0,0.27415169318620053,27,470.0,0.2206915643866647,22,401.0,0.23900883318827634,19,295.0,0.21141559399338292,18,366.0,0.26826460758518356,22,494.0,0.16725059107193846,27,521.0,0.18858893491214823,27,459.0,0.24867887504407543,20,386.0,0.1926256422479847,15,289.0,0.31115308622626237,18,360.0,0.2568961704898215,28,490.0,0.22137228688872437,24,485.0,0.16553014682622716,-6.581,351,351,6693.0
65.0,391,8262.0,13.5,2.811606628809927,18,368.0,0.20371528841525685,28,754.0,0.14168436518220281,18,456.0,0.30190428808231384,30,544.0,0.19422390728059774,26,579.0,0.16484862308137657,26,521.0,0.18913375702659374,26,397.0,0.21636134887745603,19,454.0,0.2162293319866717,24,610.0,0.21162565155863158,30,657.0,0.16108567473187332,29,594.0,0.1885285862393803,23,488.0,0.16403947217554782,16,364.0,0.31699144569747406,24,467.0,0.17817280234100563,30,634.0,0.24604737417092684,24,558.0,0.12454408468436001,-7.331,391,391,8445.0
70.0,450,10303.0,15.610606060606061,2.480402076767828,21,466.0,0.14952588070233652,32,903.0,0.10941577460785896,23,553.0,0.25088667029717554,32,699.0,0.1580387722250303,33,723.0,0.09809867786895533,29,659.0,0.24934893835588995,28,519.0,0.17978340017238723,23,558.0,0.1938861209589571,28,738.0,0.19436036079219615,37,827.0,0.17704039737550353,38,766.0,0.11100726204503847,26,614.0,0.20794922298017363,17,446.0,0.3049736927088124,28,596.0,0.09801508849716933,32,788.0,0.17595380659217494,23,612.0,0.16967289421320014,-8.438,450,450,10467.0
75.0,507,12673.0,17.84929577464789,2.3563910544819207,24,574.0,0.1767229919919775,32,1063.0,0.10975663338709177,25,670.0,0.20187269388511475,35,866.0,0.13607755324289314,36,892.0,0.10998918442321853,36,820.0,0.2140557424311981,33,676.0,0.17116218088496976,26,674.0,0.21574555260550604,29,880.0,0.16270867960717242,42,1021.0,0.13935143401252661,46,977.0,0.07408732473082318,30,754.0,0.20577103887602533,22,537.0,0.28348930228283586,28,726.0,0.1580555571058218,37,963.0,0.17179817855559257,25,726.0,0.1706189389310685,-9.487,506,506,12819.0
80.0,551,15240.0,20.13210039630119,2.2698549338359304,26,695.0,0.14674082778156286,34,1228.0,0.12488142983350926,27,797.0,0.2441434293149124,39,1047.0,0.14559489712381654,36,1071.0,0.1376243449275185,41,1005.0,0.16302987415991801,39,858.0,0.12444778047626662,28,808.0,0.22287218523505073,37,1042.0,0.16945888288031577,45,1242.0,0.12384612982834237,47,1209.0,0.07977213726946693,33,910.0,0.11944004118135344,23,647.0,0.2698809599897529,28,856.0,0.17611906020649581,41,1165.0,0.14365874284564734,27,854.0,0.182332399262684,-10.331,551,551,15434.0
85.0,614,17855.0,21.934889434889435,1.8933154038482785,30,835.0,0.14696735508100753,39,1407.0,0.12888532481413498,30,930.0,0.23662836470624954,39,1239.0,0.13615734486096437,44,1270.0,0.13133455524651264,44,1213.0,0.12887779002075425,42,1056.0,0.14689403369381612,33,960.0,0.1466020172651195,40,1229.0,0.15435857430879368,45,1374.0,0.06664224073982439,52,1457.0,0.060802292549489205,40,1093.0,0.09474438793383279,28,776.0,0.23918106994974925,32,1011.0,0.1184356869131662,48,1388.0,0.06241162520100167,28,987.0,0.17611406059825074,-11.513,614,614,18225.0
90.0,668,20796.0,24.18139534883721,1.7137380905299224,31,984.0,0.14501965552990415,41,1600.0,0.11988891813955455,35,1085.0,0.18084389684042365,45,1449.0,0.11840268625675818,46,1490.0,0.11183121734021327,50,1448.0,0.1251027640447213,45,1271.0,0.13272741384316167,37,1137.0,0.14691580174545113,47,1444.0,0.13766123814375175,47,1435.0,0.07399818136504403,55,1718.0,0.10510746092854192,41,1293.0,0.08644988582774651,34,932.0,0.16335762172588023,37,1191.0,0.10011614430048542,49,1625.0,0.05565321545670104,28,1127.0,0.18582147346686143,-12.525,668,668,21229.0
