step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.416647751378782,0,0.0,0.29951651010111635,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.13758091803596487,0,0.0,0.2594116094654214,0,0.0,0.2419604281519376,0,0.0,0.49553002408851576,0,0.0,0.5834962068678051,0,0.0,0.42310500294625913,1,0.0,0.15506008246739064,0,0.0,1.0,0,0.0,0.3389902288812722,0,0.0,0.2909216217820671,0,0.0,0.3044886980885106,0,0.0,0.18010729807947187,3,0.0,-0.16875
10.0,11,0.0,0.0,6.139698531616066,0,0.0,0.37989603627015445,1,0.0,0.25200667799669213,1,0.0,0.0,2,0.0,0.31456185384471,2,0.0,0.44673095226847753,0,0.0,0.5073623754863843,0,0.0,0.522273092652617,0,0.0,0.703296562582858,0,0.0,0.4803913621455927,1,0.0,0.4498389739806388,1,0.0,0.43553381406115593,0,0.0,1.0,1,0.0,0.4226265714437537,0,0.0,0.5469914440140946,2,0.0,0.2915098864105337,0,0.0,0.9010092846160167,11,0.0,-0.61875
15.0,8,0.0,0.0,8.402000530593059,2,0.0,0.3690177760900594,0,0.0,0.6835008273877925,1,0.0,0.28342792991486193,0,0.0,0.6784957659304658,0,0.0,0.7096026500493586,0,0.0,0.7606084980846566,1,0.0,0.613330764853241,0,0.0,0.6635167649528392,0,0.0,0.6712399265868754,0,0.0,0.5263472338743554,0,0.0,0.7294862427359989,2,0.0,0.19761421785452268,0,0.0,0.667504433979948,1,0.0,0.6541206814522668,1,0.0,0.6254768241807448,0,0.0,0.5882237408397636,8,0.0,-0.45
20.0,13,8.0,0.06299212598425197,8.569773582596735,0,0.0,0.6264139782731571,0,0.0,0.6417056439043047,2,0.0,0.48700520142318493,1,0.0,0.747368079789852,1,1.0,0.6247137428302664,0,0.0,0.6518667544217609,2,3.0,0.5680757716377912,1,0.0,0.6181903583624214,1,2.0,0.5828511128907167,1,1.0,0.6979760390188239,1,0.0,0.7036768839396934,0,0.0,0.7011886313891575,1,0.0,0.7072950314840315,0,0.0,0.5248266933917024,1,1.0,0.48466923228911685,1,0.0,0.4461777557435873,13,8.0,-0.7312500000000001
25.0,26,74.0,0.47435897435897434,7.585415126321798,0,0.0,0.8272408158718755,3,3.0,0.38382376753811315,0,0.0,0.727720215504253,0,0.0,0.7447036688934933,3,12.0,0.4811854547705264,2,1.0,0.5797002228006137,3,15.0,0.33371124486684,2,0.0,0.6210724794411356,2,10.0,0.6532319316423941,4,9.0,0.42982541576622263,2,6.0,0.3914577071615689,0,0.0,0.6536723948131409,2,6.0,0.5978280855287994,1,4.0,0.5714195817426889,2,8.0,0.39382478300745954,0,0.0,0.6287916664217974,26,74.0,-1.4625000000000001
30.0,52,245.0,1.2760416666666667,6.47898637890991,1,1.0,0.757573776788379,2,13.0,0.6517529551039437,2,5.0,0.5472798171053811,2,5.0,0.45879990764108197,9,43.0,0.2776442911911756,3,7.0,0.5361230890989361,5,37.0,0.4188013803043526,0,0.0,0.7311689877717126,5,22.0,0.32001496647004735,4,26.0,0.5324760286128224,4,24.0,0.42284271255679573,4,8.0,0.2931257862571737,3,17.0,0.41333625807982727,1,9.0,0.5833543185106532,5,22.0,0.4253467069961128,2,0.0,0.5774418524114204,52,239.0,-2.925
35.0,76,526.0,2.3377777777777777,5.85426056937205,3,10.0,0.42173837060078423,3,23.0,0.5188842378464436,5,19.0,0.3275720368071668,4,20.0,0.4315973691882469,13,100.0,0.2141912055866671,4,21.0,0.5012077899221535,6,62.0,0.3719354204102342,2,4.0,0.5623241848455272,6,50.0,0.3739248708437391,7,51.0,0.45305723765521116,5,47.0,0.47462486027820056,5,28.0,0.3836197076297871,4,36.0,0.48077879580984756,4,24.0,0.37885072737079606,4,36.0,0.4846163461205207,1,2.0,0.7053242167417275,76,533.0,-4.275
40.0,106,973.0,3.7713178294573644,5.187982004578683,5,32.0,0.21180593672687306,3,34.0,0.521438533201121,5,44.0,0.3761909388645225,4,40.0,0.4277624503503999,17,171.0,0.19641413935656216,6,46.0,0.496382322776669,8,97.0,0.24423059459010038,4,17.0,0.3361278346407552,10,86.0,0.30726151460245615,9,92.0,0.4196811509522569,9,84.0,0.35801077099169104,7,58.0,0.3453275823666606,5,61.0,0.4436539762557066,5,48.0,0.3391178461698761,7,64.0,0.47011341565520254,2,7.0,0.6171859986025162,106,981.0,-5.9625
45.0,142,1551.0,5.559139784946237,4.131208194500322,8,59.0,0.24571077101217037,4,49.0,0.5237951960755926,5,63.0,0.48561860806007834,6,64.0,0.2321853608728858,18,252.0,0.15552741465691472,12,93.0,0.36177624949693515,10,143.0,0.20728473381007909,6,47.0,0.35919457407642785,11,134.0,0.38093930079135796,13,148.0,0.22827059054397658,13,137.0,0.19245329773080339,11,99.0,0.230961263567373,9,98.0,0.2526293985189959,5,63.0,0.3843340727515738,8,101.0,0.2834131375368709,3,19.0,0.5060342211097774,142,1569.0,-7.9875
50.0,182,2344.0,7.561290322580645,3.647275485708806,8,96.0,0.3487971543847777,5,71.0,0.32285575575034725,7,93.0,0.4093694704158002,7,86.0,0.30780852826888444,21,348.0,0.1436103918251557,18,169.0,0.22644284357362873,11,197.0,0.2164102711515721,7,80.0,0.3404674109837006,15,183.0,0.2533148141448416,18,228.0,0.1753029979013242,17,210.0,0.17735949003216941,13,159.0,0.2584956081865693,12,149.0,0.2699608793702347,7,91.0,0.3981151731053286,11,152.0,0.26971025530023846,5,42.0,0.46362050745343925,182,2354.0,-10.2375
55.0,197,3152.0,9.243401759530792,3.3352339732708605,9,139.0,0.39340446566893844,7,102.0,0.32478950268415235,7,127.0,0.3699064765807168,9,126.0,0.24559112103317524,19,441.0,0.20777785635849222,20,265.0,0.16814560341109402,13,256.0,0.141219178501034,9,121.0,0.3244517044536731,15,252.0,0.14137438319211104,17,297.0,0.18379329013158213,18,290.0,0.21740023775220038,15,216.0,0.2026746817119656,14,211.0,0.23788376449070997,8,126.0,0.39707671056836374,12,207.0,0.23125565792891087,5,65.0,0.4427817018191066,197,3241.0,-11.08125
