step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;0;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;18;0;5;5;296;0.00;0.00;-1.00;1.00;5;0;0;1.00;1
0;0;0;0;2;7;296;1.37;0.10;-1.00;1.00;7;0;0;2.00;2
0;0;0;0;0;7;296;3.19;0.23;-1.00;1.00;7;0;0;3.00;4
0;0;0;0;3;10;296;3.55;0.26;-1.00;1.60;10;0;0;4.00;1
0;0;1;0;1;11;296;5.16;0.37;-1.00;1.55;11;0;0;5.00;2
0;0;0;0;4;15;296;5.25;0.38;-1.00;1.40;15;0;0;6.00;2
0;0;0;0;4;19;296;5.51;0.40;-1.00;1.58;19;0;0;7.00;2
0;0;0;0;3;22;296;6.28;0.45;-1.00;1.50;22;0;0;8.00;4
0;0;0;0;5;27;296;6.39;0.46;-1.00;1.56;27;0;0;9.00;6
0;0;0;0;7;34;296;6.14;0.44;-1.00;1.56;34;0;0;10.00;3
0;0;0;0;1;35;296;7.42;0.53;-1.00;1.54;35;0;0;11.00;4
0;0;1;0;2;37;296;8.35;0.60;-1.00;1.57;37;0;0;12.00;5
0;0;0;0;4;41;296;8.56;0.62;-1.00;1.61;41;0;0;13.00;4
0;0;0;0;4;45;296;8.73;0.63;-1.00;1.62;45;0;0;14.00;3
0;0;0;0;2;47;296;9.05;0.65;-1.00;1.64;47;0;0;15.00;4
0;0;0;0;4;50;296;9.12;0.66;-1.00;1.74;50;0;0;16.00;4
0;0;1;0;4;53;296;9.40;0.68;-1.00;1.74;53;0;0;17.00;4
0;0;0;0;6;56;296;9.38;0.68;-1.00;1.75;56;0;0;18.00;4
0;0;0;0;7;60;296;9.23;0.66;-1.00;1.82;60;0;0;19.00;4
1;0;0;1;6;62;296;9.21;0.66;16.00;1.85;61;0;0;20.00;4
1;0;1;1;10;67;296;8.71;0.63;16.00;1.82;66;0;0;21.00;5
1;0;0;1;7;68;296;8.65;0.62;16.00;1.84;67;0;0;22.00;6
2;0;1;2;11;70;296;8.35;0.60;14.50;1.91;68;0;0;23.00;6
2;0;0;2;10;71;296;8.55;0.62;14.50;1.96;69;0;0;24.00;6
2;0;0;2;15;74;296;8.30;0.60;14.50;1.97;72;0;0;25.00;6
2;0;1;2;15;76;296;8.29;0.60;14.50;2.01;74;0;0;26.00;5
2;0;0;2;14;76;296;8.49;0.61;14.50;2.01;74;0;0;27.00;8
4;0;0;4;18;79;296;8.19;0.59;13.75;2.08;75;0;0;28.00;7
4;0;1;4;21;83;296;7.68;0.55;13.75;2.13;79;0;0;29.00;8
4;0;0;4;21;84;296;7.54;0.54;13.75;2.15;80;0;0;30.00;10
4;0;1;4;23;86;296;7.26;0.52;13.75;2.19;82;0;0;31.00;12
4;0;0;4;30;93;296;6.49;0.47;13.75;2.13;89;0;0;32.00;10
4;0;0;4;25;95;296;6.25;0.45;13.75;2.24;91;0;0;33.00;9
4;0;1;4;29;95;296;6.30;0.45;13.75;2.24;91;0;0;34.00;13
4;0;0;4;38;102;296;5.89;0.42;13.75;2.38;98;0;0;35.00;10
4;0;1;4;37;107;296;5.66;0.41;13.75;2.45;103;0;0;36.00;8
4;0;0;4;39;110;296;5.68;0.41;13.75;2.43;106;0;0;37.00;9
4;0;0;4;46;115;296;5.53;0.40;13.75;2.49;111;0;0;38.00;5
4;0;1;4;44;118;296;5.49;0.39;13.75;2.53;114;0;0;39.00;7
4;0;0;4;51;123;296;5.16;0.37;13.75;2.54;119;0;0;40.00;4
4;0;0;4;49;125;296;4.94;0.36;13.75;2.58;121;0;0;41.00;4
4;0;1;4;51;127;296;4.81;0.35;13.75;2.58;123;0;0;42.00;4
4;0;0;4;56;130;296;4.61;0.33;13.75;2.63;126;0;0;43.00;4
4;0;1;4;55;133;296;4.56;0.33;13.75;2.60;129;0;0;44.00;4
4;0;0;4;55;135;296;4.54;0.33;13.75;2.60;131;0;0;45.00;3
4;0;1;4;58;140;296;4.43;0.32;13.75;2.59;136;0;0;46.00;3
4;0;0;4;56;142;296;4.49;0.32;13.75;2.58;138;0;0;47.00;3
4;0;0;4;59;144;296;4.55;0.33;13.75;2.56;140;0;0;48.00;5
4;0;1;4;66;150;296;4.54;0.33;13.75;2.55;146;0;0;49.00;3
4;0;1;4;62;150;296;4.68;0.34;13.75;2.55;146;0;0;50.00;4
4;0;0;4;66;152;296;4.78;0.34;13.75;2.56;148;0;0;51.00;2
4;0;1;4;74;159;296;4.65;0.33;13.75;2.53;155;0;0;52.00;0
4;0;1;4;70;160;296;4.70;0.34;13.75;2.52;156;0;0;53.00;4
5;0;0;5;74;160;296;4.69;0.34;18.00;2.52;155;0;0;54.00;7
5;0;1;5;84;169;296;4.41;0.32;18.00;2.50;164;0;0;55.00;1
7;0;0;7;78;170;296;4.26;0.31;22.71;2.49;163;0;0;56.00;2
