step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,2.980864844395823,0,0.0,0.24185690417965816,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.11682210486048893,0,0.0,0.22124202872994736,0,0.0,0.24512992832162364,0,0.0,0.4635917356280244,0,0.0,0.382278197529733,0,0.0,0.5175152002495083,1,0.0,0.17101950073085834,0,0.0,1.0,0,0.0,0.26388746864908263,0,0.0,0.2532370061473108,0,0.0,0.2899770450684877,0,0.0,0.17681856544484337,3,0.0,-0.09375
10.0,11,0.0,0.0,6.210867115784206,0,0.0,0.33075101281050573,1,0.0,0.265010362044098,1,0.0,0.0,2,0.0,0.34996794593768865,2,0.0,0.4772743525144612,0,0.0,0.5099855760569045,0,0.0,0.553313131982047,0,0.0,0.7269733645135981,0,0.0,0.5349891107891735,1,0.0,0.44249364861612744,1,0.0,0.4639729113922912,0,0.0,1.0,1,0.0,0.40332247887051426,0,0.0,0.6073590697421604,2,0.0,0.29475599672820024,0,0.0,0.9337725450508961,11,0.0,-0.34375
15.0,8,0.0,0.0,8.760022519833212,2,0.0,0.42287009939649095,0,0.0,0.7466466956650851,1,0.0,0.3321943849476777,0,0.0,0.6210965765237957,0,0.0,0.743163859949691,0,0.0,0.7921737827314257,1,0.0,0.735860191995536,0,0.0,0.6760320959162632,0,0.0,0.5976352848405686,0,0.0,0.6377427030786396,0,0.0,0.6756560090679323,2,0.0,0.20988821488907922,0,0.0,0.7302787968655823,1,0.0,0.6934662740008745,1,0.0,0.7126445736046566,0,0.0,0.6318807233713722,8,0.0,-0.25
20.0,15,17.0,0.1328125,8.061048356190755,0,0.0,0.6745530797875405,0,0.0,0.4957373246364216,1,0.0,0.5678258079340113,1,0.0,0.7700769155758658,1,2.0,0.6293199413659487,1,2.0,0.47061417120806787,3,4.0,0.41264843555933284,1,0.0,0.6257821424811938,1,3.0,0.529197195369832,1,3.0,0.5516684779648783,2,1.0,0.6218136586005204,0,0.0,0.7733081431001025,1,0.0,0.661631168592655,1,2.0,0.38993647521159575,0,0.0,0.5887926870018508,1,0.0,0.5624055813155026,15,17.0,-0.46875
25.0,34,111.0,0.7070063694267515,7.323838356914352,1,1.0,0.7880133367573756,3,4.0,0.4012606019236701,0,0.0,0.7388822163236839,0,0.0,0.6722938806053765,3,14.0,0.5071450829421232,4,12.0,0.45417047190559234,5,23.0,0.3109453279188934,1,0.0,0.6247630888280088,2,10.0,0.5915281254922929,5,14.0,0.3830855099124166,5,15.0,0.31008712769068175,0,0.0,0.7153756959867476,2,5.0,0.5228551161354305,2,11.0,0.5445488463271192,1,2.0,0.49162874207476853,0,0.0,0.7247184372876001,34,111.0,-1.0625
30.0,61,306.0,1.5612244897959184,6.069842645776355,4,12.0,0.4403191677222586,3,17.0,0.36214319920142335,2,3.0,0.5274827479316173,1,6.0,0.5840023225946747,6,40.0,0.36719466748258794,6,28.0,0.41217528097389955,8,55.0,0.38314848493118203,2,3.0,0.5601138516451031,4,25.0,0.46271707492860426,4,29.0,0.4540989213626928,6,40.0,0.40057992736406683,4,9.0,0.30736150201100615,3,15.0,0.4808420821155172,1,12.0,0.4769802315477371,4,15.0,0.3948011610246995,3,1.0,0.5128362757546044,61,310.0,-1.90625
35.0,75,578.0,2.5575221238938055,6.166575341214707,6,39.0,0.326236716896228,3,20.0,0.5037157705949795,3,13.0,0.31024968428828,2,14.0,0.5464698058277722,8,67.0,0.24322793526237135,4,48.0,0.5105602140921751,9,85.0,0.3232302563075652,3,11.0,0.4913720827037392,5,52.0,0.49434220085765723,6,52.0,0.48603602592977374,6,68.0,0.3873993961487348,6,31.0,0.4138452330983989,4,34.0,0.4968828645601869,2,21.0,0.4992769424976619,6,39.0,0.4616899211575376,2,9.0,0.6494097777295113,75,603.0,-2.34375
40.0,86,702.0,2.689655172413793,5.571533013913154,5,57.0,0.2800892649157841,2,17.0,0.5263442135226843,2,17.0,0.49777709946274196,0,11.0,0.45313990197821763,11,104.0,0.17737606137442025,10,80.0,0.4372373347389764,12,137.0,0.3005009808520502,2,13.0,0.5340649699248059,9,83.0,0.3589814504003577,4,50.0,0.39309742893887417,7,75.0,0.359812707826378,5,45.0,0.3909167639533558,5,58.0,0.4750545747659888,3,13.0,0.36514212718205485,6,58.0,0.38878785887906,3,11.0,0.5545382485708563,86,829.0,-2.6875
45.0,111,1049.0,3.773381294964029,5.148328361199636,5,54.0,0.2669424596755187,4,16.0,0.45320945110615085,3,32.0,0.5578867904191711,4,15.0,0.3601584768513079,5,109.0,0.3968189685649808,13,132.0,0.3123350471325933,14,204.0,0.2802378870600082,3,17.0,0.4849034239638841,10,120.0,0.3328500415991193,7,37.0,0.4023063891270424,8,101.0,0.3787719270806162,8,64.0,0.32974442907072526,8,94.0,0.39867573619328445,5,33.0,0.3325978154407357,9,95.0,0.15238943803421534,5,27.0,0.4550678017845615,111,1150.0,-3.46875
