step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.35679560883769,0,0.0,0.29790442671808687,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.15733167201675227,0,0.0,0.23729984259730483,0,0.0,0.22624099999375394,0,0.0,0.5137960006524889,0,0.0,0.428494623432769,0,0.0,0.5354548248604629,1,0.0,0.2340608926264145,0,0.0,1.0,0,0.0,0.3284616094877558,0,0.0,0.32541962815384723,0,0.0,0.2692872329869199,0,0.0,0.21561565148367315,3,0.0,-0.09375
10.0,11,0.0,0.0,6.409374143897781,0,0.0,0.4301708946737512,1,0.0,0.25472293227977444,1,0.0,0.0,2,0.0,0.37874122135241256,2,0.0,0.4658562461538353,0,0.0,0.5715818140184272,0,0.0,0.5919147754878271,0,0.0,0.6999400616680977,0,0.0,0.5463743043760362,1,0.0,0.4703340265934594,1,0.0,0.443235420664454,0,0.0,1.0,1,0.0,0.4272757432241412,0,0.0,0.621186096109354,2,0.0,0.3042762967241187,0,0.0,0.9304580056840556,11,0.0,-0.34375
15.0,7,0.0,0.0,8.5461578962157,1,0.0,0.46683924246823816,0,0.0,0.783544005268143,1,0.0,0.34821839006912836,0,0.0,0.6859578477064501,0,0.0,0.7455385481224847,0,0.0,0.6733878175288869,1,0.0,0.6621588767831303,0,0.0,0.6862412071560721,0,0.0,0.5586288567827851,0,0.0,0.590918727778191,0,0.0,0.7109666946199281,2,0.0,0.21695187756932804,0,0.0,0.7473994286745381,1,0.0,0.750886123560802,1,0.0,0.5688369087893121,0,0.0,0.5655931820985429,7,0.0,-0.21875
20.0,11,10.0,0.07936507936507936,8.647724563121894,0,0.0,0.6430746447912731,0,0.0,0.6115364730493876,2,0.0,0.5694113290045517,1,0.0,0.7665222614718473,0,0.0,0.6463313105571905,0,0.0,0.6520068617936996,2,3.0,0.654708478530296,1,0.0,0.627974978007445,1,3.0,0.6344496844824693,1,2.0,0.6683403918569917,1,0.0,0.6383532538185173,0,0.0,0.7048415579856685,0,0.0,0.8005328747368956,0,0.0,0.541243572486024,1,2.0,0.4689158322701539,1,0.0,0.4529263207541561,11,10.0,-0.34375
25.0,30,90.0,0.5806451612903226,7.691865580196859,0,0.0,0.8547839275221322,2,4.0,0.34300192292986126,0,0.0,0.7703206773486448,0,0.0,0.6632905508287241,5,15.0,0.5222434436017649,2,2.0,0.5771431581353502,4,18.0,0.4117514952657819,2,0.0,0.5663592975270967,2,9.0,0.6438132349557953,4,12.0,0.5507886546035989,2,7.0,0.3678713014882439,0,0.0,0.6464232449207792,2,5.0,0.5578151475241564,1,4.0,0.5817275700615323,4,14.0,0.40265877989135007,0,0.0,0.6844338574931104,30,90.0,-0.9375
30.0,50,240.0,1.2307692307692308,6.607772712206225,1,2.0,0.7618014431414192,2,13.0,0.6105718408867328,3,6.0,0.5889289170851978,1,4.0,0.582791961880414,9,49.0,0.32400411086328845,2,7.0,0.47342729608562123,5,39.0,0.3673797063158168,0,0.0,0.7680186713015916,4,20.0,0.2582081409044296,2,13.0,0.5154249252097989,4,26.0,0.5088171531586972,5,11.0,0.2837098795648269,3,18.0,0.47307110035623423,2,10.0,0.6138365836130224,5,34.0,0.420143544894924,2,0.0,0.5664669082487717,50,252.0,-1.5625
35.0,76,518.0,2.2920353982300883,5.9412180892381405,3,10.0,0.5343956993627379,3,23.0,0.5858498308544923,4,20.0,0.2905114999929373,2,14.0,0.446948808846598,14,109.0,0.19602051844069548,5,23.0,0.513930356294778,6,64.0,0.3407368673491579,2,1.0,0.557105718061181,6,49.0,0.34963191847183545,5,20.0,0.490425869865203,6,51.0,0.5238796789897062,5,34.0,0.4403349585875566,4,36.0,0.4536399038255739,5,26.0,0.3652427254548789,4,38.0,0.49402223359300945,2,7.0,0.5613013977224953,76,525.0,-2.375
40.0,106,924.0,3.595330739299611,5.00688741021306,5,31.0,0.28905936074760913,2,33.0,0.5448083840270196,6,48.0,0.45161770042059485,5,35.0,0.2546770145801259,18,186.0,0.1562812344141792,6,49.0,0.5032127833390279,8,99.0,0.2677876045324887,5,15.0,0.2774288851881738,8,85.0,0.35773036606224856,5,35.0,0.37518062121365403,7,80.0,0.4379441666029978,9,65.0,0.3216226691278743,7,64.0,0.4549019304116454,6,55.0,0.2896285020736871,6,62.0,0.36269202884003787,3,12.0,0.49862921792196435,106,954.0,-3.3125
45.0,146,1540.0,5.519713261648746,4.201657109871509,7,62.0,0.28429774646373884,5,50.0,0.36344410134111876,7,80.0,0.4759725223947534,8,66.0,0.2379676601204914,19,274.0,0.1585656968799862,10,88.0,0.40230682585812694,10,145.0,0.15286102075357522,6,45.0,0.3685304729553693,11,137.0,0.3570839486476825,8,55.0,0.2705596268592038,16,133.0,0.17429087720191236,11,108.0,0.23524472449364003,8,100.0,0.32135003092638253,7,90.0,0.3439732617274611,9,102.0,0.31438112591056716,4,30.0,0.4956926490280282,146,1565.0,-4.5625
50.0,179,2337.0,7.538709677419355,3.699493628028813,8,101.0,0.3436845647228461,7,80.0,0.215270801709638,8,115.0,0.362536439671687,6,89.0,0.32958853397749116,20,367.0,0.17055441509054414,16,154.0,0.188829623259936,11,200.0,0.1469314659323132,7,77.0,0.3444758779074735,16,200.0,0.3030254606253523,13,109.0,0.22978668212396283,20,221.0,0.16637179748870798,13,168.0,0.26783723684421185,11,147.0,0.21665493249191214,8,127.0,0.43844635410514576,10,152.0,0.29282600390822167,5,55.0,0.49993557173626335,179,2362.0,-5.59375
55.0,204,3225.0,9.513274336283185,3.253949518869111,10,146.0,0.3413828022016539,9,124.0,0.2547157502508178,10,159.0,0.33668354314154314,9,128.0,0.25743007102933324,19,462.0,0.20180182234902164,21,252.0,0.17329004775637383,12,259.0,0.1375732528755713,9,118.0,0.3237097710338875,19,279.0,0.13943389908285178,13,174.0,0.1989192102991699,22,316.0,0.2022499830251011,13,220.0,0.19215260794922348,13,205.0,0.29568384279915216,9,169.0,0.28244174050726295,12,202.0,0.22581788893698265,4,74.0,0.42039309749243636,204,3287.0,-6.375
60.0,238,4263.0,11.428954423592494,2.8377958207196987,12,199.0,0.26079356304268947,11,169.0,0.27762820891922957,11,214.0,0.2552731428978253,8,135.0,0.1639000554523239,22,565.0,0.15414437815366122,22,361.0,0.19294366350863337,16,329.0,0.2209526862713162,9,163.0,0.22663732858873498,20,376.0,0.14995694614450114,16,238.0,0.1492388262238045,24,428.0,0.15409096732196845,19,305.0,0.16586818574147755,14,271.0,0.2274580529671727,12,224.0,0.20527741765115531,15,264.0,0.21923309571369887,7,103.0,0.402931934686949,238,4344.0,-7.4375
