step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,4,0.0,0.0,2.7443363428115846,0,0.0,0.1457987327005185,1,0.0,0.1614328432201854,1,0.0,0.2442688552650441,0,0.0,0.13076377230272346,0,0.0,0.31785525068661097,0,0.0,1.0,0,0.0,0.2903976001454136,1,0.0,0.06970355085778905,1,0.0,0.1804734067115105,-0.133,4,4,0.0
10.0,7,0.0,0.0,6.629407077606705,1,0.0,0.35671992183799606,2,0.0,0.504069217915244,0,0.0,0.7136610078822573,1,0.0,0.3293161142177344,0,0.0,0.6939372422822229,2,0.0,0.21875368929941036,0,0.0,0.7219569422869359,0,0.0,0.4662909584868435,1,0.0,0.46163402343181836,-0.233,7,7,0.0
15.0,8,0.0,0.0,8.906830624009922,1,0.0,0.5777525022039091,1,0.0,0.604097305018808,0,0.0,0.8195789109383116,2,0.0,0.5378655565608323,1,0.0,0.5882496157222495,2,0.0,0.5032610996692524,0,0.0,0.9110037163593359,0,0.0,0.9442410621415108,1,0.0,0.7039829041898922,-0.267,8,8,0.0
20.0,14,18.0,0.1978021978021978,7.7467201637948655,1,0.0,0.6890415739478923,3,8.0,0.5620596784493068,2,0.0,0.5222615565523419,1,1.0,0.619283969014514,4,6.0,0.4151003811776557,0,0.0,0.6411737696054922,1,2.0,0.13848864636053457,0,0.0,0.5501657953039863,2,1.0,0.6403336997451874,-0.467,14,14,18.0
25.0,29,107.0,0.9553571428571429,6.732531792813229,3,3.0,0.5314992690275765,4,26.0,0.45915251996652046,1,5.0,0.5436454815105299,4,13.0,0.46001905242922575,7,23.0,0.37506874541528223,2,5.0,0.5465877746995842,2,12.0,0.3017530801356809,3,10.0,0.44967134464603087,3,10.0,0.5881275990593764,-0.967,29,29,107.0
30.0,53,290.0,2.0714285714285716,5.706048517657862,4,13.0,0.6180222860223502,10,62.0,0.2996092719549233,6,18.0,0.41530159714134046,7,40.0,0.37357424283593677,7,55.0,0.44905097014802703,5,24.0,0.44583966181961515,2,23.0,0.30196682331962743,5,26.0,0.20516538170437462,7,31.0,0.41938934126735705,-1.767,53,53,292.0
35.0,68,565.0,3.4242424242424243,5.444205092460674,3,28.0,0.5678466903554228,11,116.0,0.3342013872823862,4,37.0,0.5497401764587948,9,77.0,0.35157712763835147,10,96.0,0.3276150888064269,11,62.0,0.32405186360852145,5,38.0,0.4018469202018654,7,53.0,0.3366438396863447,8,60.0,0.38506063749239505,-2.267,68,68,567.0
40.0,83,882.0,4.691489361702128,4.9657743818814915,8,55.0,0.38298798136247275,13,177.0,0.3120262903194358,6,61.0,0.5515096493969368,11,131.0,0.3155626161530427,10,127.0,0.19212231941912283,16,125.0,0.2377215898664455,5,54.0,0.4130443804115689,7,83.0,0.46475538353022305,7,91.0,0.4527050336409981,-2.767,83,83,904.0
45.0,105,1322.0,6.3253588516746415,3.993004671126409,7,89.0,0.24830650419164865,16,249.0,0.29651032961123575,9,91.0,0.35785393307401425,17,202.0,0.23136392100167064,13,169.0,0.25940802531184964,18,208.0,0.1642890816668123,7,80.0,0.35105284177642,9,116.0,0.40679650568673437,9,128.0,0.3875594168277391,-3.5,105,105,1332.0
