step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,4.565842647664249,1,0.0,0.33310792815384316,-0.3,1,1,0.0
10.0,0,0.0,0.0,7.846626043564953,0,0.0,0.5533124460589327,0.0,0,0,0.0
15.0,2,0.0,0.0,8.745614106217555,2,0.0,0.6244422073533283,-0.6,2,2,0.0
20.0,2,0.0,0.0,10.341074412892969,2,0.0,0.7419047494223051,-0.6,2,2,0.0
25.0,1,0.0,0.0,10.289205863228029,1,0.0,0.7331064038600039,-0.3,1,1,0.0
30.0,5,9.0,0.2571428571428571,9.039176338857656,5,9.0,0.6553973482090432,-1.5,5,5,9.0
35.0,7,27.0,0.6585365853658537,8.422851824750962,7,27.0,0.5727001238527224,-2.1,7,7,27.0
40.0,9,48.0,1.0434782608695652,7.756771356026632,9,51.0,0.5023948899005563,-2.7,9,9,51.0
45.0,14,104.0,2.0392156862745097,7.989679047116612,14,104.0,0.4685026761283922,-4.2,14,14,104.0
50.0,21,183.0,3.267857142857143,6.964367179190054,21,183.0,0.4047914663891426,-6.3,21,21,183.0
55.0,17,197.0,3.3389830508474576,6.9037480876325885,17,240.0,0.40440334330775457,-5.1,17,17,240.0
60.0,21,277.0,4.328125,6.632628243161145,21,285.0,0.3751127368348286,-6.3,21,21,285.0
65.0,29,384.0,5.731343283582089,6.13752486526804,29,388.0,0.3557773506634081,-8.7,29,29,388.0
70.0,29,522.0,7.457142857142857,5.96146443081439,29,522.0,0.338830157671521,-8.7,29,29,522.0
75.0,36,689.0,8.948051948051948,5.5294928621122805,36,689.0,0.3050812546269579,-10.8,36,36,689.0
80.0,38,682.0,8.632911392405063,4.876165843454862,38,797.0,0.27793854354823755,-11.4,38,38,797.0
85.0,32,725.0,9.177215189873417,5.201011502582824,32,851.0,0.31111102333511037,-9.6,32,32,851.0
90.0,35,877.0,10.31764705882353,4.44676017621228,35,1005.0,0.250689765626946,-10.5,35,35,1005.0
95.0,48,1086.0,11.934065934065934,4.55231560697241,48,1212.0,0.22773987815391478,-14.4,48,48,1212.0
100.0,51,1167.0,12.284210526315789,4.238333547488316,51,1395.0,0.21493416588761521,-15.3,51,51,1395.0
105.0,51,1312.0,13.666666666666666,4.130135062058814,51,1541.0,0.214947050908921,-15.3,51,51,1541.0
110.0,52,1132.0,11.670103092783505,3.9140994813569634,52,1634.0,0.19555657620793496,-15.6,52,52,1634.0
115.0,52,840.0,8.75,3.284262152524809,52,1615.0,0.14566420719144585,-15.6,52,52,1615.0
120.0,51,732.0,7.469387755102041,3.0887511698618475,51,1790.0,0.13206766168866618,-15.3,51,51,1790.0
125.0,51,806.0,7.98019801980198,3.508138743052533,51,1985.0,0.1352622500232827,-15.3,51,51,1985.0
130.0,52,938.0,9.474747474747474,2.953587340115251,52,2167.0,0.10909033188058267,-15.6,52,52,2167.0
135.0,55,1052.0,10.52,3.123096516916444,55,2309.0,0.11708334613690258,-16.5,55,55,2309.0
140.0,61,1300.0,13.0,2.716569238009317,61,2570.0,0.08498565870707604,-18.3,61,61,2570.0
145.0,75,1650.0,17.1875,2.1471589255423864,75,2901.0,0.05339447098197934,-22.5,75,75,2901.0
150.0,76,1872.0,19.705263157894738,1.8088884908681337,76,3115.0,0.03557550860135976,-22.8,76,76,3115.0
155.0,68,1981.0,21.76923076923077,2.077177526014849,68,3140.0,0.050046717037214805,-20.4,68,68,3140.0
160.0,57,1994.0,22.919540229885058,1.944131035724188,57,3292.0,0.04287446209596479,-17.1,57,57,3292.0
165.0,52,1997.0,23.22093023255814,2.546772028958941,52,3405.0,0.05579777508720355,-15.6,52,52,3405.0
170.0,49,2101.0,25.011904761904763,2.5819718138054553,49,3452.0,0.05089565667319483,-14.7,49,49,3452.0
175.0,45,2275.0,28.4375,2.7046460229490465,45,3393.0,0.050686947847677126,-13.5,45,45,3393.0
180.0,43,2450.0,31.818181818181817,2.7587995987847425,43,3475.0,0.049953492581202644,-12.9,43,43,3475.0
185.0,46,2663.0,36.47945205479452,2.402952852098138,46,3699.0,0.04620085119860497,-13.8,46,46,3699.0
190.0,53,2913.0,41.028169014084504,1.787070144604651,53,3949.0,0.022478893313477757,-15.9,53,53,3949.0
195.0,58,3195.0,48.40909090909091,0.734922777387166,58,4231.0,0.00349425857180311,-17.4,58,58,4231.0
200.0,63,3501.0,55.57142857142857,0.002647925710460024,63,4537.0,0.00019312748382299485,-18.9,63,63,4537.0
205.0,63,3816.0,60.57142857142857,4.513843975732309e-05,63,4852.0,3.370169284726584e-06,-18.9,63,63,4852.0
210.0,63,4131.0,65.57142857142857,0.0,63,5167.0,0.0,-18.9,63,63,5167.0
215.0,63,4446.0,70.57142857142857,0.0,63,5482.0,0.0,-18.9,63,63,5482.0
220.0,63,4761.0,75.57142857142857,0.0,63,5797.0,0.0,-18.9,63,63,5797.0
225.0,63,5076.0,80.57142857142857,0.0,63,6112.0,0.0,-18.9,63,63,6112.0
230.0,63,5391.0,85.57142857142857,0.0,63,6427.0,0.0,-18.9,63,63,6427.0
235.0,63,5706.0,90.57142857142857,0.0,63,6742.0,0.0,-18.9,63,63,6742.0
240.0,63,6021.0,95.57142857142857,0.0,63,7057.0,0.0,-18.9,63,63,7057.0
245.0,63,6336.0,100.57142857142857,0.0,63,7372.0,0.0,-18.9,63,63,7372.0
250.0,63,6651.0,105.57142857142857,0.0,63,7687.0,0.0,-18.9,63,63,7687.0
255.0,63,6966.0,110.57142857142857,0.0,63,8002.0,0.0,-18.9,63,63,8002.0
260.0,63,7281.0,115.57142857142857,0.0,63,8317.0,0.0,-18.9,63,63,8317.0
265.0,57,7087.0,112.4920634920635,0.3145289109741354,57,8331.0,0.009226366188963163,-17.1,57,57,8331.0
270.0,47,6541.0,103.82539682539682,1.6823274305195905,47,8040.0,0.041402233017062806,-14.1,47,47,8040.0
275.0,39,6052.0,96.06349206349206,3.0402549819970925,39,7457.0,0.08086231846464027,-11.7,39,39,7457.0
280.0,35,5101.0,80.96825396825396,3.1853906703133585,35,7321.0,0.060706366424961376,-10.5,35,35,7321.0
285.0,31,3416.0,56.93333333333333,3.773391897694559,31,6765.0,0.08368284369816789,-9.3,31,31,6765.0
290.0,23,1864.0,32.70175438596491,4.331688590598539,23,5819.0,0.1054555317421212,-6.9,23,23,5819.0
295.0,22,732.0,14.076923076923077,4.02683614390794,22,5929.0,0.11547063572650733,-6.6,22,22,5929.0
300.0,24,265.0,5.3,3.5664492383758044,24,6037.0,0.11463567843437104,-7.2,24,24,6037.0
305.0,28,386.0,8.391304347826088,1.9524755174254755,28,6140.0,0.05597115108069272,-8.4,28,28,6140.0
310.0,28,456.0,10.604651162790697,1.0559237046802161,28,5889.0,0.020925975435774378,-8.4,28,28,5889.0
315.0,25,485.0,11.829268292682928,2.2598380244333076,25,5242.0,0.07000500518546487,-7.5,25,25,5242.0
320.0,20,530.0,12.926829268292684,2.5744267111799997,20,5348.0,0.07187907214188857,-6.0,20,20,5348.0
325.0,24,616.0,15.024390243902438,2.6434148860217412,24,5456.0,0.06393190663533363,-7.2,24,24,5456.0
330.0,29,751.0,18.775,1.716767147700476,29,5592.0,0.006734897894140258,-8.7,29,29,5592.0
335.0,35,916.0,24.756756756756758,0.6341888584958202,35,5757.0,0.0002311743240616512,-10.5,35,35,5757.0
340.0,35,1091.0,31.17142857142857,2.8806315296571944e-05,35,5932.0,2.228471209858568e-06,-10.5,35,35,5932.0
345.0,29,1112.0,31.771428571428572,0.4733779909969017,29,5666.0,0.018396084884331303,-8.7,29,29,5666.0
350.0,20,1032.0,29.485714285714284,2.738852850798748,20,4958.0,0.08352296228376385,-6.0,20,20,4958.0
355.0,10,546.0,15.6,4.284968170475129,10,4453.0,0.13717659932324433,-3.0,10,10,4453.0
360.0,12,171.0,4.885714285714286,5.014217647341104,12,3783.0,0.10353226992800463,-3.6,12,12,3783.0
365.0,16,97.0,2.8529411764705883,5.18997609349585,16,3847.0,0.055188985925887016,-4.8,16,16,3847.0
370.0,20,188.0,6.266666666666667,3.5964975493239733,20,3938.0,0.011229019455717129,-6.0,20,20,3938.0
375.0,16,173.0,6.653846153846154,2.7846702364185774,16,3602.0,0.02773332850556313,-4.8,16,16,3602.0
380.0,8,99.0,4.304347826086956,4.985415357841887,8,2834.0,0.1531737693539807,-2.4,8,8,2834.0
385.0,8,139.0,6.318181818181818,7.7085958915052695,8,1729.0,0.15112807201688602,-2.4,8,8,1729.0
390.0,10,182.0,8.272727272727273,7.048932670455281,10,1772.0,0.0002291795422342862,-3.0,10,10,1772.0
395.0,10,232.0,10.545454545454545,7.075523128765618,10,1822.0,0.0,-3.0,10,10,1822.0
400.0,10,282.0,18.8,4.178395309164797,10,1872.0,0.0,-3.0,10,10,1872.0
405.0,10,332.0,30.181818181818183,0.9662076495277611,10,1922.0,0.0,-3.0,10,10,1922.0
410.0,10,382.0,38.2,0.0,10,1972.0,0.0,-3.0,10,10,1972.0
415.0,8,379.0,37.9,1.1156053329864517,8,1763.0,0.0,-2.4,8,8,1763.0
420.0,8,419.0,41.9,2.296280705888744,8,1803.0,0.0,-2.4,8,8,1803.0
425.0,8,459.0,45.9,2.2840334235941873,8,1843.0,0.0,-2.4,8,8,1843.0
430.0,8,499.0,49.9,2.411297422640014,8,1883.0,0.0,-2.4,8,8,1883.0
