step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,4.193054593121633,1,0.0,0.30027817499596626,-0.3,1,1,0.0
10.0,0,0.0,0.0,7.1580602732596725,0,0.0,0.524700847791023,0.0,0,0,0.0
15.0,2,0.0,0.0,8.670388515525413,2,0.0,0.6409605903128941,-0.6,2,2,0.0
20.0,2,0.0,0.0,10.011183861905128,2,0.0,0.7359122270442332,-0.6,2,2,0.0
25.0,1,0.0,0.0,10.135012509294963,1,0.0,0.7514842522618961,-0.3,1,1,0.0
30.0,6,10.0,0.2857142857142857,9.076222177083059,6,10.0,0.658413562004081,-1.8,6,6,10.0
35.0,6,25.0,0.6097560975609756,8.231756834241256,6,25.0,0.5830692493578037,-1.8,6,6,25.0
40.0,10,63.0,1.3695652173913044,7.728620120909631,10,63.0,0.4912344424694416,-3.0,10,10,63.0
45.0,12,74.0,1.4509803921568627,7.189681432547372,12,95.0,0.467394653626526,-3.6,12,12,95.0
50.0,18,131.0,2.2982456140350878,6.816348310788061,18,135.0,0.406995549164502,-5.4,18,18,135.0
55.0,18,210.0,3.5,7.452694037446585,18,217.0,0.45292108714619256,-5.4,18,18,217.0
60.0,25,313.0,4.890625,6.271931986101228,25,317.0,0.35244217451945864,-7.5,25,25,317.0
65.0,26,401.0,5.811594202898551,6.080610428693722,26,417.0,0.3548684623682346,-7.8,26,26,417.0
70.0,27,516.0,7.267605633802817,6.244376965116575,27,523.0,0.3630725113752143,-8.1,27,27,523.0
75.0,32,472.0,6.12987012987013,5.393511759539359,32,598.0,0.29315873417915284,-9.6,32,32,598.0
80.0,30,482.0,6.025,5.63089253513098,30,626.0,0.3191736936995715,-9.0,30,30,626.0
85.0,30,576.0,6.857142857142857,5.288933793822356,30,746.0,0.29162500088157267,-9.0,30,30,746.0
90.0,40,747.0,8.586206896551724,4.641629277638337,40,898.0,0.24717929545269646,-12.0,40,40,898.0
95.0,45,632.0,6.795698924731183,4.562592148276413,45,994.0,0.23708556304912218,-13.5,45,45,994.0
100.0,43,548.0,5.89247311827957,4.455055830995923,43,1003.0,0.23835398375168476,-12.9,43,43,1003.0
105.0,42,549.0,5.65979381443299,4.427190020246944,42,1086.0,0.23773040377896082,-12.6,42,42,1086.0
110.0,41,559.0,5.762886597938144,4.320285447368946,41,1148.0,0.22446335113747984,-12.3,41,41,1148.0
115.0,43,660.0,6.73469387755102,3.554685223202068,43,1253.0,0.16283135523112044,-12.9,43,43,1253.0
120.0,48,832.0,8.489795918367347,3.4508166054284346,48,1316.0,0.1429570359274187,-14.4,48,48,1316.0
125.0,46,756.0,7.714285714285714,3.0386990148920217,46,1450.0,0.11907616173015474,-13.8,46,46,1450.0
130.0,53,665.0,6.717171717171717,3.3780844939174224,53,1505.0,0.12827524724021866,-15.9,53,53,1505.0
135.0,52,607.0,6.322916666666667,2.911754443792138,52,1648.0,0.1172211118528366,-15.6,52,52,1648.0
140.0,55,655.0,6.683673469387755,3.315358791448591,55,1762.0,0.13769607680531318,-16.5,55,55,1762.0
145.0,58,823.0,8.484536082474227,2.911470935185048,58,1911.0,0.10510921049079572,-17.4,58,58,1911.0
150.0,59,964.0,10.365591397849462,2.8756866780856445,59,2040.0,0.08828027187874649,-17.7,59,59,2040.0
155.0,59,1001.0,11.0,2.506112099685038,59,2176.0,0.04947106990439778,-17.7,59,59,2176.0
160.0,59,942.0,10.953488372093023,2.365319312866251,59,2234.0,0.03634189639908528,-17.7,59,59,2234.0
165.0,54,960.0,11.566265060240964,3.023475256211513,54,2265.0,0.06591923212421467,-16.2,54,54,2265.0
170.0,44,909.0,11.222222222222221,3.316252815989586,44,2394.0,0.0799192221012696,-13.2,44,44,2394.0
175.0,47,1087.0,14.302631578947368,3.2270872692921806,47,2472.0,0.07048233665991628,-14.1,47,47,2472.0
180.0,47,1279.0,18.014084507042252,2.0760458389094145,47,2611.0,0.0188326871347643,-14.1,47,47,2611.0
185.0,45,1449.0,21.0,2.7103941132530083,45,2651.0,0.03931977757088605,-13.5,45,45,2651.0
190.0,35,1302.0,20.03076923076923,2.85180524826372,35,2615.0,0.06412010642176738,-10.5,35,35,2615.0
195.0,30,951.0,15.338709677419354,3.5298944068719096,30,2276.0,0.06561757249536374,-9.0,30,30,2276.0
200.0,29,714.0,11.9,4.100098311355478,29,2137.0,0.09194266920964608,-8.7,29,29,2137.0
205.0,23,628.0,10.827586206896552,4.6091721301192985,23,2159.0,0.11714499243324943,-6.9,23,23,2159.0
210.0,19,636.0,12.0,4.64800780751983,19,2059.0,0.09035874074313247,-5.7,19,19,2059.0
215.0,26,718.0,14.958333333333334,3.920997439680249,26,2051.0,0.050031397067301184,-7.8,26,26,2051.0
220.0,33,872.0,19.377777777777776,2.8774016262456086,33,2205.0,0.0013361572208838784,-9.9,33,33,2205.0
225.0,29,987.0,23.5,2.7367489652725303,29,2267.0,0.02177038470008326,-8.7,29,29,2267.0
230.0,26,1100.0,29.72972972972973,3.153538209170661,26,2236.0,0.05071373589457375,-7.8,26,26,2236.0
235.0,28,1234.0,35.25714285714286,2.6104486215243803,28,2336.0,0.00015773549167130284,-8.4,28,28,2336.0
240.0,28,1374.0,39.25714285714286,2.6647019116621014,28,2476.0,0.0,-8.4,28,28,2476.0
