step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,3.8206578404487423,1,0.0,0.29345278954827364,-0.3,1,1,0.0
10.0,0,0.0,0.0,6.926798001691589,0,0.0,0.5033564833911679,0.0,0,0,0.0
15.0,2,0.0,0.0,8.518358066813539,2,0.0,0.6228179059910753,-0.6,2,2,0.0
20.0,2,0.0,0.0,10.057408661538418,2,0.0,0.7396930074205872,-0.6,2,2,0.0
25.0,1,0.0,0.0,10.70822183759712,1,0.0,0.7853561661354156,-0.3,1,1,0.0
30.0,4,5.0,0.14285714285714285,9.348564044261257,4,5.0,0.6651434456068323,-1.2,4,4,5.0
35.0,10,31.0,0.7560975609756098,7.949566355154347,10,31.0,0.5651077903862648,-3.0,10,10,31.0
40.0,9,58.0,1.2608695652173914,7.6906881741934345,9,63.0,0.5224748499673453,-2.7,9,9,63.0
45.0,15,115.0,2.3,7.065364016432023,15,115.0,0.4585207321954923,-4.5,15,15,115.0
50.0,20,183.0,3.210526315789474,6.818302888678388,20,184.0,0.4261197066336039,-6.0,20,20,184.0
55.0,18,271.0,4.442622950819672,6.891659828528449,18,271.0,0.40093886482664937,-5.4,18,18,271.0
60.0,26,380.0,5.757575757575758,6.595882147721634,26,380.0,0.3618355668531967,-7.8,26,26,380.0
65.0,26,344.0,4.914285714285715,6.021253757742109,26,438.0,0.3459609450191427,-7.8,26,26,438.0
70.0,21,347.0,4.887323943661972,6.162980053182816,21,450.0,0.36445067461168623,-6.3,21,21,450.0
75.0,29,470.0,6.266666666666667,5.724589636051206,29,515.0,0.3446409447816302,-8.7,29,29,515.0
80.0,30,361.0,4.5125,5.649645161176804,30,560.0,0.3223253315824643,-9.0,30,30,560.0
85.0,30,328.0,3.8588235294117648,5.626939453793459,30,541.0,0.3025410673614629,-9.0,30,30,541.0
90.0,34,432.0,4.909090909090909,5.086205295140292,34,654.0,0.2841556359172534,-10.2,34,34,654.0
95.0,37,572.0,6.355555555555555,5.063407238360898,37,771.0,0.26951283666431075,-11.1,37,37,771.0
100.0,44,623.0,6.627659574468085,4.644811601309518,44,914.0,0.23810372716738137,-13.2,44,44,914.0
105.0,47,748.0,7.957446808510638,4.552010196098005,47,1039.0,0.2337550672784253,-14.1,47,47,1039.0
110.0,49,936.0,9.75,3.9246555530874816,49,1254.0,0.19360928833548025,-14.7,49,49,1254.0
115.0,54,1167.0,12.15625,3.7644153553612134,54,1469.0,0.16971807430762834,-16.2,54,54,1469.0
120.0,56,1092.0,11.375,3.3676537022236253,56,1617.0,0.1377114966079072,-16.8,56,56,1617.0
125.0,56,978.0,10.294736842105262,3.3871007125065082,56,1628.0,0.13869771172036324,-16.8,56,56,1628.0
130.0,50,956.0,9.958333333333334,3.4819970740934103,50,1810.0,0.1541642373436719,-15.0,50,50,1810.0
135.0,49,1052.0,10.845360824742269,3.73920206406117,49,1942.0,0.14716699367506902,-14.7,49,49,1942.0
140.0,52,1276.0,13.154639175257731,3.7609000884821953,52,2086.0,0.1486996111832678,-15.6,52,52,2086.0
145.0,51,1467.0,15.774193548387096,3.7023673451263948,51,2216.0,0.15030500827291396,-15.3,51,51,2216.0
150.0,50,1618.0,17.78021978021978,3.5428594891120455,50,2264.0,0.12812685766355766,-15.0,50,50,2264.0
155.0,53,1488.0,16.90909090909091,3.016934721179019,53,2341.0,0.0826620599337149,-15.9,53,53,2341.0
160.0,54,1155.0,13.91566265060241,2.659076479407855,54,2285.0,0.05312329593691879,-16.2,54,54,2285.0
165.0,46,890.0,11.265822784810126,2.3086729723272237,46,2470.0,0.04663194648520132,-13.8,46,46,2470.0
170.0,42,936.0,12.48,2.469333620251848,42,2579.0,0.058198572117842476,-12.6,42,42,2579.0
175.0,43,1021.0,13.797297297297296,2.5544656371199737,43,2662.0,0.044950022154491634,-12.9,43,43,2662.0
180.0,49,1165.0,16.180555555555557,2.797879976787709,49,2651.0,0.033756635361629254,-14.7,49,49,2651.0
185.0,52,1419.0,20.565217391304348,2.9886142112449763,52,2729.0,0.01155092483817563,-15.6,52,52,2729.0
190.0,47,1533.0,24.333333333333332,2.446389307014486,47,2786.0,0.010285611810570406,-14.1,47,47,2786.0
195.0,37,1538.0,25.21311475409836,3.282703688620808,37,2638.0,0.04576436129693465,-11.1,37,37,2638.0
200.0,34,1652.0,28.982456140350877,3.9292759836139464,34,2487.0,0.08968944285188962,-10.2,34,34,2487.0
205.0,29,1643.0,31.0,3.3181159605949886,29,2411.0,0.04423831058932709,-8.7,29,29,2411.0
210.0,28,1629.0,30.735849056603772,4.56050853159916,28,2387.0,0.06012195133071872,-8.4,28,28,2387.0
215.0,31,1756.0,36.583333333333336,3.5775655887291986,31,2437.0,0.00946421651730142,-9.3,31,31,2437.0
220.0,34,1922.0,42.71111111111111,3.022004082030912,34,2603.0,6.14715486832071e-06,-10.2,34,34,2603.0
225.0,28,1470.0,35.853658536585364,2.6115050748488553,28,2546.0,0.017292799763228825,-8.4,28,28,2546.0
230.0,18,668.0,18.054054054054053,3.420927291212099,18,2245.0,0.07256225022566806,-5.4,18,18,2245.0
235.0,10,229.0,6.542857142857143,4.106880100617866,10,2193.0,0.1104840723382099,-3.0,10,10,2193.0
240.0,15,294.0,8.647058823529411,4.317583150554472,15,2110.0,0.031303696363990975,-4.5,15,15,2110.0
245.0,21,391.0,11.848484848484848,4.030311316728389,21,2207.0,0.0018965889218984888,-6.3,21,21,2207.0
250.0,23,505.0,18.035714285714285,2.392531017927804,23,2321.0,4.53967531405324e-05,-6.9,23,23,2321.0
255.0,17,324.0,12.0,2.7101188014140742,17,2179.0,0.03533670966388177,-5.1,17,17,2179.0
260.0,15,309.0,13.434782608695652,3.7267727956048433,15,1678.0,0.03792980556228238,-4.5,15,15,1678.0
265.0,15,384.0,16.695652173913043,4.491937278724701,15,1708.0,0.0,-4.5,15,15,1708.0
270.0,15,459.0,19.956521739130434,4.369867816060915,15,1783.0,0.0,-4.5,15,15,1783.0
275.0,9,298.0,14.19047619047619,4.628830255348366,9,1572.0,0.04881483304512908,-2.7,9,9,1572.0
280.0,1,34.0,1.8888888888888888,7.390973448025542,1,1078.0,0.24378740733715304,-0.3,1,1,1078.0
285.0,2,7.0,0.4666666666666667,6.1898681389256565,2,1085.0,0.10986090900940332,-0.6,2,2,1085.0
290.0,8,41.0,2.7333333333333334,5.305009790928904,8,1119.0,0.003026097243824018,-2.4,8,8,1119.0
