step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,4.245970354446521,1,0.0,0.3197910178333592,-0.3,1,1,0.0
10.0,0,0.0,0.0,7.458918316839091,0,0.0,0.5413498425658312,0.0,0,0,0.0
15.0,2,0.0,0.0,8.848802366347432,2,0.0,0.6358735518608476,-0.6,2,2,0.0
20.0,2,0.0,0.0,10.587269650343787,2,0.0,0.7624073082697914,-0.6,2,2,0.0
25.0,2,1.0,0.03571428571428571,10.36208719009429,2,1.0,0.7378670499237475,-0.6,2,2,1.0
30.0,4,9.0,0.2571428571428571,8.430699867850253,4,9.0,0.5970666474786113,-1.2,4,4,9.0
35.0,8,18.0,0.43902439024390244,7.887016822229046,8,19.0,0.5500650058499343,-2.4,8,8,19.0
40.0,11,59.0,1.2826086956521738,8.0000173876468,11,59.0,0.511348046645503,-3.3,11,11,59.0
45.0,13,105.0,2.0588235294117645,7.567255772861726,13,105.0,0.47280719128945103,-3.9,13,13,105.0
50.0,18,178.0,3.1228070175438596,7.211286946537637,18,178.0,0.41462933141363173,-5.4,18,18,178.0
55.0,20,249.0,4.081967213114754,6.84482867700223,20,255.0,0.40366084326089713,-6.0,20,20,255.0
60.0,24,357.0,5.492307692307692,6.892137550590084,24,357.0,0.40251614750121845,-7.2,24,24,357.0
65.0,30,483.0,7.0,6.084939099580404,30,483.0,0.34001526240623303,-9.0,30,30,483.0
70.0,26,432.0,6.084507042253521,6.063545888701916,26,553.0,0.3645817562243477,-7.8,26,26,553.0
75.0,25,459.0,6.0394736842105265,6.387369326591529,25,528.0,0.3646307450602773,-7.5,25,25,528.0
80.0,26,464.0,5.728395061728395,6.006428605825792,26,585.0,0.3326750094607521,-7.8,26,26,585.0
85.0,31,562.0,6.771084337349397,5.839356122165131,31,632.0,0.30423724139855646,-9.3,31,31,632.0
90.0,32,681.0,7.9186046511627906,5.562069462223146,32,744.0,0.28775625513269426,-9.6,32,32,744.0
95.0,38,830.0,9.325842696629213,5.48718019358146,38,870.0,0.28788366948214444,-11.4,38,38,870.0
100.0,37,897.0,9.857142857142858,5.01620285622485,37,995.0,0.25593945681803026,-11.1,37,37,995.0
105.0,42,1069.0,11.619565217391305,5.001909441077159,42,1126.0,0.2601720559181967,-12.6,42,42,1126.0
110.0,46,869.0,9.445652173913043,4.3827219716255446,46,1193.0,0.2196066030211956,-13.8,46,46,1193.0
115.0,46,620.0,6.666666666666667,4.383912285078604,46,1148.0,0.19724666382381922,-13.8,46,46,1148.0
120.0,44,636.0,6.989010989010989,4.1510172165079435,44,1108.0,0.1743029710196665,-13.2,44,44,1108.0
125.0,45,781.0,8.582417582417582,4.436407199300699,45,1156.0,0.18983932936730696,-13.5,45,45,1156.0
130.0,50,1014.0,11.266666666666667,4.779048553502535,50,1214.0,0.20010611139105305,-15.0,50,50,1214.0
135.0,47,1123.0,12.340659340659341,4.076096760997635,47,1393.0,0.14753555052630876,-14.1,47,47,1393.0
140.0,47,1209.0,13.738636363636363,3.5266667566498247,47,1533.0,0.13607986710019224,-14.1,47,47,1533.0
145.0,46,1398.0,16.25581395348837,3.5652223142092994,46,1682.0,0.14745027856832074,-13.8,46,46,1682.0
150.0,50,1607.0,19.36144578313253,3.649457944258494,50,1815.0,0.1273864216408708,-15.0,50,50,1815.0
155.0,54,1499.0,18.7375,2.9990410152561986,54,1943.0,0.060240168485961906,-16.2,54,54,1943.0
160.0,49,1257.0,16.76,2.9700254034205784,49,1953.0,0.05645601755490957,-14.7,49,49,1953.0
165.0,40,1127.0,16.1,2.5468622596385773,40,2101.0,0.05493958139022462,-12.0,40,40,2101.0
170.0,29,1019.0,15.208955223880597,3.2640838867927857,29,2136.0,0.0842082287895514,-8.7,29,29,2136.0
175.0,32,1138.0,17.242424242424242,4.091900521503751,32,2173.0,0.09549312139915367,-9.6,32,32,2173.0
180.0,39,1319.0,21.62295081967213,3.846359456598638,39,2282.0,0.05057489378125208,-11.7,39,39,2282.0
185.0,37,1024.0,17.35593220338983,3.684043058901386,37,2292.0,0.01524259006173802,-11.1,37,37,2292.0
190.0,30,576.0,10.472727272727273,4.363844969456882,30,2122.0,0.06434462469847946,-9.0,30,30,2122.0
195.0,30,726.0,14.52,4.37211278245216,30,1878.0,0.03830240595938039,-9.0,30,30,1878.0
200.0,26,664.0,14.127659574468085,4.326448375403223,26,1837.0,0.024049146230412526,-7.8,26,26,1837.0
205.0,17,467.0,11.119047619047619,5.001792943166996,17,1591.0,0.09605159953142296,-5.1,17,17,1591.0
210.0,9,305.0,8.026315789473685,6.172130922395944,9,1352.0,0.18982824653020822,-2.7,9,9,1352.0
215.0,9,350.0,9.722222222222221,7.474223558179046,9,1090.0,0.24039019098203548,-2.7,9,9,1090.0
220.0,10,332.0,10.06060606060606,6.311755548918183,10,1055.0,0.06807771373293739,-3.0,10,10,1055.0
225.0,13,393.0,14.035714285714286,5.415403404360602,13,1116.0,0.006803089990942977,-3.9,13,13,1116.0
230.0,12,165.0,6.875,4.957782219073393,12,1002.0,0.03765958462965468,-3.6,12,12,1002.0
235.0,12,225.0,11.25,4.646089805426688,12,897.0,0.0,-3.6,12,12,897.0
240.0,9,163.0,9.588235294117647,4.270951425642619,9,726.0,0.021572799463873093,-2.7,9,9,726.0
245.0,9,208.0,13.0,5.3339735813442815,9,663.0,0.0,-2.7,9,9,663.0
250.0,3,70.0,4.375,6.512869106650797,3,527.0,0.07128589497992742,-0.9,3,3,527.0
255.0,0,0.0,0.0,9.670060326897394,0,207.0,0.3787335858079264,0.0,0,0,207.0
260.0,1,3.0,0.2727272727272727,9.634878785784924,1,210.0,0.03280441552247322,-0.3,1,1,210.0
265.0,3,18.0,2.0,8.89099745899739,3,225.0,5.186702820798745e-05,-0.9,3,3,225.0
270.0,3,33.0,4.714285714285714,7.156365792794211,3,240.0,0.0,-0.9,3,3,240.0
275.0,3,48.0,12.0,2.6805272272220293,3,255.0,0.0,-0.9,3,3,255.0
280.0,3,63.0,21.0,0.0,3,270.0,0.0,-0.9,3,3,270.0
285.0,3,78.0,26.0,0.0,3,285.0,0.0,-0.9,3,3,285.0
290.0,3,93.0,31.0,0.0,3,300.0,0.0,-0.9,3,3,300.0
295.0,3,108.0,36.0,0.0,3,315.0,0.0,-0.9,3,3,315.0
300.0,3,123.0,41.0,0.0,3,330.0,0.0,-0.9,3,3,330.0
305.0,3,138.0,46.0,0.0,3,345.0,0.0,-0.9,3,3,345.0
310.0,3,153.0,51.0,0.0,3,360.0,0.0,-0.9,3,3,360.0
315.0,3,168.0,56.0,0.0,3,375.0,0.0,-0.9,3,3,375.0
320.0,3,183.0,61.0,0.0,3,390.0,0.0,-0.9,3,3,390.0
325.0,3,198.0,66.0,0.0,3,405.0,0.0,-0.9,3,3,405.0
330.0,3,213.0,71.0,0.0,3,420.0,0.0,-0.9,3,3,420.0
335.0,3,228.0,76.0,0.0,3,435.0,0.0,-0.9,3,3,435.0
340.0,3,243.0,81.0,0.0,3,450.0,0.0,-0.9,3,3,450.0
345.0,3,258.0,86.0,0.0,3,465.0,0.0,-0.9,3,3,465.0
350.0,3,273.0,91.0,0.0,3,480.0,0.0,-0.9,3,3,480.0
355.0,3,288.0,96.0,0.0,3,495.0,0.0,-0.9,3,3,495.0
360.0,3,303.0,101.0,0.0,3,510.0,0.0,-0.9,3,3,510.0
365.0,3,318.0,106.0,0.0,3,525.0,0.0,-0.9,3,3,525.0
370.0,3,333.0,111.0,0.0,3,540.0,0.0,-0.9,3,3,540.0
375.0,3,348.0,116.0,0.0,3,555.0,0.0,-0.9,3,3,555.0
380.0,0,0.0,0.0,3.4187400229069103,0,364.0,0.17509215822172114,0.0,0,0,364.0
385.0,0,0.0,0.0,8.808305872660197,0,0.0,1.0,0.0,0,0,0.0
390.0,0,0.0,0.0,12.55659257222464,0,0.0,1.0,0.0,0,0,0.0
395.0,0,0.0,0.0,12.379694382357727,0,0.0,1.0,0.0,0,0,0.0
400.0,0,0.0,0.0,12.22766698513207,0,0.0,1.0,0.0,0,0,0.0
405.0,0,0.0,0.0,12.014911118478858,0,0.0,1.0,0.0,0,0,0.0
410.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
415.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
420.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
425.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
430.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
435.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
440.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
445.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
450.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
455.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
460.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
465.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
470.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
475.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
480.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
485.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
490.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
495.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
500.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
505.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
510.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
515.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
520.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
525.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
530.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
535.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
540.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
545.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
550.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
555.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
560.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
565.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
570.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
575.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
580.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
585.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
590.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
595.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
600.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
605.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
610.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
615.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
620.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
625.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
630.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
635.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
640.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
645.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
650.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
655.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
660.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
665.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
670.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
675.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
680.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
685.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
690.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
695.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
700.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
705.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
710.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
715.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
720.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
725.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
730.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
735.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
740.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
745.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
750.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
755.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
760.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
765.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
770.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
775.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
780.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
785.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
790.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
795.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
800.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
805.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
810.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
815.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
820.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
825.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
830.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
835.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
840.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
845.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
850.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
855.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
860.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
865.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
870.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
875.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
880.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
885.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
890.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
895.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
900.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
