step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.807804114864848,0,0.0,0.10926239785751153,1,0.0,0.15608383220558245,1,0.0,0.28705121534770794,0,0.0,0.1044767854999891,0,0.0,0.33393674428206754,0,0.0,1.0,0,0.0,0.2647007572467457,1,0.0,0.049334345664109616,1,0.0,0.2066929636949567,4,0.0,-0.04444444444444443
10.0,7,0.0,0.0,6.825748051589514,1,0.0,0.375248263057333,2,0.0,0.5278561905189616,0,0.0,0.7875232897198096,1,0.0,0.3347322361921701,0,0.0,0.6953089714759925,2,0.0,0.2116882637301292,0,0.0,0.6944048694796023,0,0.0,0.4783976305253802,1,0.0,0.5162910038460816,7,0.0,-0.07777777777777777
15.0,9,0.0,0.0,8.71423106018979,1,0.0,0.6081547794981921,1,0.0,0.6588757517536399,0,0.0,0.7913596287628508,2,0.0,0.544160692300461,1,0.0,0.5483401491083765,3,0.0,0.5067281224313592,0,0.0,0.7420640353157208,0,0.0,0.948722246371938,1,0.0,0.710224265313956,9,0.0,-0.09999999999999998
20.0,13,18.0,0.2,7.982495215252664,2,2.0,0.6304464562643829,1,1.0,0.6590251586900637,2,0.0,0.5530948984027715,1,1.0,0.6732125744224007,4,9.0,0.4411855426930203,0,0.0,0.590796428849977,1,3.0,0.2454295111201503,1,2.0,0.5965270404296896,1,0.0,0.6931948926297453,13,18.0,-0.14444444444444443
25.0,23,86.0,0.7818181818181819,6.950559093468744,2,7.0,0.49672781011745193,3,10.0,0.6231950255803969,0,0.0,0.5680626035604198,3,11.0,0.47166694506460644,5,25.0,0.38774138723291846,2,2.0,0.569236966355441,2,12.0,0.3786336909797969,3,14.0,0.35065449534491705,3,6.0,0.614178122882006,23,87.0,-0.2555555555555555
30.0,41,219.0,1.5755395683453237,6.244167782287214,1,3.0,0.5900177136416752,5,30.0,0.4374851030307289,5,6.0,0.4646820849054597,6,35.0,0.20047446564811602,8,58.0,0.4147233452035043,3,16.0,0.6022621254258521,2,22.0,0.41759839479486555,4,29.0,0.30650790621744967,7,26.0,0.4601383209725193,41,225.0,-0.45555555555555544
35.0,46,334.0,2.0242424242424244,6.022967806352993,1,3.0,0.5162589287109832,7,49.0,0.42638648215609865,3,20.0,0.5856495131483836,8,76.0,0.4045233113975896,6,71.0,0.3589636214818335,6,31.0,0.42899675587924335,4,38.0,0.5073263799476341,5,48.0,0.3565955409842237,6,43.0,0.34837328722660665,46,379.0,-0.511111111111111
40.0,68,567.0,2.953125,5.540765745463683,7,21.0,0.3888196816811097,9,84.0,0.3810229683471517,3,29.0,0.6300030997744538,9,119.0,0.43767224790935005,12,91.0,0.18105122796855444,10,67.0,0.3363977844143527,5,53.0,0.43403900752666286,7,72.0,0.36177178287165856,6,50.0,0.4542899560853695,68,586.0,-0.7555555555555554
45.0,89,776.0,3.677725118483412,4.819438412721505,12,64.0,0.21333528035779065,12,129.0,0.31877417502362815,7,46.0,0.5410555033705643,9,149.0,0.3735503249965563,8,103.0,0.26556765406721883,15,129.0,0.3123536889033353,9,82.0,0.3512256298356347,9,106.0,0.2992372600879476,8,77.0,0.4429948991309895,89,885.0,-0.9888888888888887
50.0,114,1207.0,5.1581196581196584,4.050230543573452,18,137.0,0.078334156712655,14,179.0,0.273253866168316,11,86.0,0.33627401800032347,13,171.0,0.234582958950749,13,150.0,0.2902760719566196,15,189.0,0.3457480091090265,10,121.0,0.3745953660274804,11,153.0,0.2907636026758372,9,115.0,0.3634230025725999,114,1301.0,-1.2666666666666664
55.0,134,1582.0,6.108108108108108,3.7100804954265,16,204.0,0.14454634344615802,19,255.0,0.20405873431598537,14,150.0,0.20868102081603607,16,231.0,0.16202102604174712,13,164.0,0.363227572315321,20,275.0,0.21949727215935938,12,176.0,0.4026438918499426,11,175.0,0.2923825499737456,13,158.0,0.3359997654435546,134,1788.0,-1.4888888888888885
60.0,141,2067.0,7.462093862815885,3.950606468677959,12,240.0,0.2860660295432474,26,364.0,0.18741188081872534,16,227.0,0.18219785277757272,19,321.0,0.22946767089889683,9,178.0,0.456007566868775,23,379.0,0.2007920452061329,15,243.0,0.28911274765876704,9,169.0,0.3750760881829011,12,188.0,0.29958096625688674,141,2309.0,-1.5666666666666662
65.0,151,2357.0,7.962837837837838,3.3071592248714112,11,269.0,0.27488671862565844,30,504.0,0.168867446386682,17,271.0,0.20250107873504447,17,388.0,0.2542119023962905,11,205.0,0.2155962597726567,27,505.0,0.128822129319532,14,266.0,0.23777805969615387,9,176.0,0.34237134919597734,15,216.0,0.24433197027810494,151,2800.0,-1.6777777777777774
70.0,177,2813.0,8.790625,3.0617750184146275,11,279.0,0.21022520496479552,34,650.0,0.17761712556049233,17,331.0,0.2396370345143497,19,450.0,0.21513890124064952,22,271.0,0.15961260449339768,30,646.0,0.16117444666125652,14,260.0,0.2161659738830828,11,177.0,0.30011907105913876,19,280.0,0.2206391446772824,177,3344.0,-1.9666666666666661
75.0,189,3113.0,8.919770773638968,2.7490021162628198,16,310.0,0.23936219972533976,37,789.0,0.12390830438983037,14,354.0,0.2210738579397227,20,455.0,0.17865238757780644,22,347.0,0.18634076697385582,27,721.0,0.14905376227716247,18,283.0,0.19284658109237934,15,197.0,0.21821925708964596,20,356.0,0.20159859920337353,189,3812.0,-2.0999999999999996
80.0,196,3467.0,9.245333333333333,3.1135894586941566,19,371.0,0.22473154844889864,39,947.0,0.123762039585579,13,341.0,0.31835314375002666,21,509.0,0.2058283413511434,22,418.0,0.2029723663549083,26,771.0,0.17320835646696678,15,344.0,0.21615495812267163,15,238.0,0.2942427861119521,26,470.0,0.23165976739371327,196,4409.0,-2.177777777777777
85.0,212,4073.0,10.131840796019901,3.2149186133091154,20,419.0,0.2646581662351258,44,1148.0,0.11400207490222275,15,387.0,0.3055906879545804,23,554.0,0.2242565513667603,24,513.0,0.24126719268042218,24,861.0,0.211936872087329,18,412.0,0.27674328024837874,17,268.0,0.2310160665007793,27,545.0,0.2039048437381283,212,5107.0,-2.355555555555555
90.0,239,5018.0,11.75175644028103,2.6673955405624885,20,481.0,0.27598988812001135,49,1380.0,0.10881805392033048,17,461.0,0.2969325062939649,29,675.0,0.14086928570679996,24,605.0,0.2130805623308768,28,989.0,0.19516990609400842,20,499.0,0.22476742804324806,18,337.0,0.13279901452310247,34,684.0,0.16051440400728478,239,6111.0,-2.655555555555555
