step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,2,0.0,0.0,2.7271526302472924,1,0.0,0.0808514379680098,1,0.0,0.1005071422729304,0,0.0,0.2501119789948393,0,0.0,0.3744503742673786,-0.15,2,2,0.0
10.0,1,0.0,0.0,7.542738947972737,0,0.0,0.5064220763815119,0,0.0,0.6586120356978145,0,0.0,0.49635259692774986,1,0.0,0.5872927014818021,-0.075,1,1,0.0
15.0,1,0.0,0.0,9.407399124082119,0,0.0,0.7059557450723918,0,0.0,0.6885877070036387,0,0.0,0.8162782879279386,1,0.0,0.5891546811806176,-0.075,1,1,0.0
20.0,5,1.0,0.021739130434782608,9.692605992893503,2,0.0,0.6740506237804408,1,0.0,0.7351709552214494,1,1.0,0.7599644747631911,1,0.0,0.6703267983924646,-0.375,5,5,1.0
25.0,5,3.0,0.05357142857142857,9.727880257412352,2,4.0,0.6335962637886985,0,0.0,0.8719137113586896,2,1.0,0.6528101671746577,1,0.0,0.7384262631620264,-0.375,5,5,5.0
30.0,11,24.0,0.3870967741935484,8.344523040834734,4,10.0,0.6154864357321598,2,3.0,0.5638341337752151,3,9.0,0.47921739546752495,2,4.0,0.7539282126789082,-0.825,11,11,26.0
35.0,23,92.0,1.2777777777777777,6.601403365391494,5,27.0,0.5955303155923701,7,22.0,0.39515255550985273,4,25.0,0.40903112298341465,7,20.0,0.42777867410343373,-1.725,23,23,94.0
40.0,28,175.0,2.1875,5.734608882568032,7,46.0,0.36713006001515786,7,42.0,0.4407073172278157,7,52.0,0.3812455024484195,7,52.0,0.38746072519856595,-2.1,28,28,192.0
45.0,35,287.0,3.2613636363636362,5.736375216196478,11,78.0,0.32217809819134247,9,87.0,0.4339542688496656,6,73.0,0.4091547806613611,9,72.0,0.44108265824217646,-2.625,35,35,310.0
