step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.6170249908430767,0,0.0,0.3161759596541367,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.15431175371898567,0,0.0,0.284368652734315,0,0.0,0.2515079647986335,0,0.0,0.5790442554497084,0,0.0,0.5143016663304255,0,0.0,0.5382710657757107,1,0.0,0.2460244899462859,0,0.0,1.0,0,0.0,0.3954993717610912,0,0.0,0.3219245244837753,0,0.0,0.2980693625524871,0,0.0,0.18724157428894367,3,0.0,-0.16875
10.0,10,0.0,0.0,6.869599792876354,0,0.0,0.4360766766903736,1,0.0,0.3287575327499663,1,0.0,0.0,2,0.0,0.3936069182772167,2,0.0,0.5036737744515087,0,0.0,0.5963459090982611,0,0.0,0.6415260118944957,0,0.0,0.6952158424381842,0,0.0,0.5626026979964146,1,0.0,0.4638881220001459,1,0.0,0.4715512626853171,0,0.0,1.0,1,0.0,0.45670674309262466,0,0.0,0.6913800326630336,1,0.0,0.3679013560152625,0,0.0,0.9840313543291412,10,0.0,-0.5625
15.0,6,0.0,0.0,8.856510146694427,1,0.0,0.43355153808957786,0,0.0,0.8431066096695927,1,0.0,0.40275000509617764,0,0.0,0.6959508398316328,0,0.0,0.6790996295354711,0,0.0,0.7575874654514927,0,0.0,0.6758406249679756,0,0.0,0.6819341367346082,0,0.0,0.6211350130180247,0,0.0,0.5617510369989189,0,0.0,0.7429082487431988,2,0.0,0.27130041128662824,0,0.0,0.745581719278346,1,0.0,0.7226072055448751,1,0.0,0.7439325736717499,0,0.0,0.6720632697269199,6,0.0,-0.3375
20.0,16,21.0,0.16535433070866143,8.26982642205465,1,3.0,0.6018872716408501,0,0.0,0.5358310558060433,2,0.0,0.5416691244861798,1,0.0,0.796274261063128,2,5.0,0.5537116477142863,0,0.0,0.45715254420948387,2,4.0,0.5080696011748885,1,0.0,0.6675325015053528,1,3.0,0.5494777431269379,1,3.0,0.6616536481149047,1,0.0,0.6624927815582052,0,0.0,0.7264534412902567,1,0.0,0.782676772447237,2,3.0,0.40771592996690353,0,0.0,0.6273142836325297,1,0.0,0.583931616614571,16,21.0,-0.9
25.0,31,99.0,0.6387096774193548,7.398956871027519,3,13.0,0.60343548564224,3,7.0,0.3726000364443287,1,1.0,0.787943837333094,1,0.0,0.7046368246763577,4,17.0,0.4504082979645702,4,7.0,0.45346232706081924,5,23.0,0.24987814409555736,1,0.0,0.6347598019441694,0,2.0,0.7066420795809639,3,13.0,0.47471860686721484,2,3.0,0.3518641130677177,0,2.0,0.669511741129352,0,0.0,0.7104828058984225,2,13.0,0.6008476332854766,2,4.0,0.5373676301242909,0,0.0,0.6908952082337294,31,105.0,-1.7437500000000001
30.0,58,288.0,1.476923076923077,6.25882121118399,5,33.0,0.40031856573777047,3,21.0,0.5575923816142379,3,8.0,0.49091567251289336,2,2.0,0.46860441077001946,8,50.0,0.2474582056371396,2,8.0,0.42984688245778985,8,56.0,0.2777325512012529,2,3.0,0.4563559012590392,1,2.0,0.5753321314352995,6,40.0,0.42126375833310925,5,23.0,0.46264319597537856,3,5.0,0.447773177341056,2,6.0,0.44719442457594605,2,23.0,0.5916269333123003,3,14.0,0.4736929186300189,3,1.0,0.6294250477482082,58,295.0,-3.2625
35.0,76,551.0,2.406113537117904,6.159180194491876,6,63.0,0.34321412864020556,4,38.0,0.5985246522469909,5,26.0,0.361872108759423,2,9.0,0.5550638324278512,10,88.0,0.13096452789316892,4,22.0,0.5064242916958718,8,88.0,0.29613810335408874,5,19.0,0.40549984076543394,3,8.0,0.5037975664629489,9,82.0,0.41540535764843617,5,34.0,0.49696306693123077,3,17.0,0.5336123838339296,4,22.0,0.45004728936268484,5,43.0,0.34770481551591187,2,14.0,0.5804883181838059,1,6.0,0.661984639066413,76,579.0,-4.275
40.0,101,883.0,3.3831417624521074,5.411240654871318,7,98.0,0.24584509221676043,5,58.0,0.4121088392749111,4,39.0,0.48731566628172823,4,23.0,0.07121017688645957,10,120.0,0.2007312462530142,5,39.0,0.4833168408833051,10,133.0,0.2532637743541851,5,39.0,0.3806153766831546,4,20.0,0.48133295901308065,8,102.0,0.40275519234110685,9,67.0,0.4142380247037624,7,40.0,0.35234652954275797,6,48.0,0.41424667147112315,9,79.0,0.3137271450991575,5,29.0,0.436089962617098,3,15.0,0.5649134943737032,101,949.0,-5.68125
45.0,100,1049.0,3.706713780918728,4.86579325968314,6,104.0,0.18804784878348155,6,68.0,0.3315165870468671,5,64.0,0.40870520736546134,6,49.0,0.27033306275264135,9,147.0,0.3020996388343862,5,47.0,0.42874731949995176,8,138.0,0.2922184821328822,3,47.0,0.50798191005668,3,32.0,0.44852680944334383,11,108.0,0.2560363892332106,8,99.0,0.30626800925511405,7,74.0,0.3035998775832984,7,82.0,0.3250320831040811,6,95.0,0.37525214413945485,7,59.0,0.29235046064000675,3,16.0,0.4834219675357841,100,1229.0,-5.625
