step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.523587371452595,1,0.0,0.0852429004915162,1,0.0,0.07723322589883029,0,0.0,0.23201452285622093,0,0.0,0.3792085915703143,2,0.0,-0.3
10.0,1,0.0,0.0,7.291136319808983,0,0.0,0.4912732564698204,0,0.0,0.6044815953341793,0,0.0,0.5292750728268937,1,0.0,0.545089711244934,1,0.0,-0.15
15.0,1,0.0,0.0,9.12567116256132,0,0.0,0.6659598214450744,0,0.0,0.6527137621383264,0,0.0,0.7892458829017198,1,0.0,0.5250428153035384,1,0.0,-0.15
20.0,6,3.0,0.0625,9.044720695885609,2,0.0,0.6678145000751677,1,0.0,0.6508268140175494,0,0.0,0.7251775350796619,3,3.0,0.500413978492946,6,3.0,-0.8999999999999999
25.0,8,26.0,0.4642857142857143,9.56730568020571,1,0.0,0.7312973894181662,1,4.0,0.7056675132860112,3,6.0,0.6034162860570979,3,16.0,0.5979943387636146,8,26.0,-1.2
30.0,15,61.0,0.9682539682539683,7.085074872733437,4,3.0,0.5572721087983155,4,16.0,0.42293439017407236,2,10.0,0.34879994500040357,5,37.0,0.5688443289973243,15,66.0,-2.25
35.0,31,165.0,2.2916666666666665,5.258109066978811,7,29.0,0.492876201703767,9,47.0,0.35407070823889303,5,21.0,0.34997743813893345,10,70.0,0.2769631004756889,31,167.0,-4.65
40.0,39,330.0,4.024390243902439,5.080165137371175,12,72.0,0.38277225905404216,8,86.0,0.3234759522438064,7,52.0,0.4013446891155206,12,122.0,0.3097841097562649,39,332.0,-5.85
45.0,48,535.0,6.149425287356322,4.879206394237479,13,127.0,0.28457159987472946,13,139.0,0.30025847865438815,8,87.0,0.4583286024385389,14,182.0,0.3455048683429272,48,535.0,-7.2
