step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.280765847527073,1,0.0,0.0656433876825853,1,0.0,0.07315264080166085,0,0.0,0.17006229777876233,0,0.0,0.30454965509244625,2,0.0,-0.3
10.0,1,0.0,0.0,7.266706949760402,0,0.0,0.5162006632629625,0,0.0,0.5967527790254212,0,0.0,0.4542257204606163,1,0.0,0.5748257432209226,1,0.0,-0.15
15.0,1,0.0,0.0,8.82080871508566,0,0.0,0.6830879582120067,0,0.0,0.6337364002691457,0,0.0,0.7897066815943452,1,0.0,0.5066111702917865,1,0.0,-0.15
20.0,5,6.0,0.13043478260869565,9.25627903441223,1,0.0,0.7305211358783835,1,0.0,0.6550658563619828,0,0.0,0.8469990483456924,3,6.0,0.5516286341038368,5,6.0,-0.75
25.0,6,26.0,0.48148148148148145,9.435431939212666,0,0.0,0.7761059170810691,1,4.0,0.7323094005359336,2,1.0,0.7080477639998021,3,21.0,0.5873553474861412,6,26.0,-0.8999999999999999
30.0,15,71.0,1.1451612903225807,7.527640135171622,4,4.0,0.6786187760248079,5,20.0,0.43454101305988135,2,6.0,0.4897145036474084,4,41.0,0.5702183067471203,15,71.0,-2.25
35.0,23,148.0,2.0555555555555554,6.050293809958585,2,9.0,0.5633689582413828,9,49.0,0.3893250348307761,3,18.0,0.40207944589132755,9,72.0,0.4100453379590799,23,148.0,-3.4499999999999997
40.0,34,278.0,3.432098765432099,5.274246975995012,8,32.0,0.39290329130643104,10,91.0,0.3595122664688196,7,48.0,0.41219020259275957,9,109.0,0.3344584261064906,34,280.0,-5.1
45.0,43,461.0,5.238636363636363,4.834887266494458,9,68.0,0.3152492025626514,12,146.0,0.3515979702453348,8,83.0,0.3908417502487101,14,166.0,0.33861379750091986,43,463.0,-6.449999999999999
50.0,51,675.0,6.683168316831683,4.747499714813542,12,124.0,0.38726249383242056,16,214.0,0.24956832093570755,9,116.0,0.41474454214665496,14,229.0,0.34262561001275055,51,683.0,-7.6499999999999995
55.0,57,935.0,8.274336283185841,4.820677142252886,15,194.0,0.3924306172937024,17,296.0,0.2630112351348902,10,157.0,0.4173644394451781,15,296.0,0.304855191325647,57,943.0,-8.55
60.0,68,1239.0,10.073170731707316,4.007419800452354,15,269.0,0.3520399733305566,20,387.0,0.21721207156091032,14,215.0,0.3573719420246275,19,376.0,0.18620753358183648,68,1247.0,-10.2
65.0,79,1610.0,12.48062015503876,3.68093908567756,21,361.0,0.18237941704031344,21,488.0,0.267216100854114,16,293.0,0.3118613989855338,21,476.0,0.23495543687968676,79,1618.0,-11.85
70.0,91,2036.0,14.647482014388489,2.8617946313430713,25,475.0,0.138235570662051,25,601.0,0.1452103390579508,18,383.0,0.26581726902671843,23,585.0,0.20692692363464973,91,2044.0,-13.649999999999999
75.0,105,2528.0,17.08108108108108,2.640775281797605,26,601.0,0.14570436707950557,28,735.0,0.10601819273311487,23,486.0,0.22008140147223434,28,715.0,0.19914208083773885,105,2537.0,-15.75
80.0,118,3082.0,19.2625,2.1969303189103284,30,744.0,0.1318438006763602,28,875.0,0.06632540768019916,27,607.0,0.19197574188057703,33,865.0,0.17176819345458325,118,3091.0,-17.7
85.0,132,3700.0,21.264367816091955,2.0957576870813526,30,894.0,0.08476821110768509,32,1024.0,0.10121646746104837,31,750.0,0.22028923499857686,39,1042.0,0.15499032166910648,132,3710.0,-19.799999999999997
90.0,143,4368.0,24.0,2.023550511944725,34,1054.0,0.09024846911141522,31,1179.0,0.1530579641150676,36,907.0,0.16786205434189752,42,1238.0,0.14558738889760023,143,4378.0,-21.45
95.0,151,5089.0,26.505208333333332,1.9292293463503238,34,1221.0,0.11875076911417896,36,1345.0,0.13851697204115662,38,1087.0,0.1612123084744814,43,1446.0,0.12097735871220075,151,5099.0,-22.65
100.0,158,5861.0,28.730392156862745,1.960253438453056,37,1397.0,0.14770066154118894,36,1525.0,0.11688548495187691,41,1286.0,0.15295918418474094,44,1663.0,0.14022834340037182,158,5871.0,-23.7
105.0,167,6681.0,32.432038834951456,1.7528172760309864,37,1580.0,0.09715087706798106,41,1723.0,0.10923851966807724,44,1504.0,0.1333239056912437,45,1885.0,0.10202923268148759,167,6692.0,-25.049999999999997
110.0,181,7556.0,36.858536585365854,1.2329473477674762,42,1781.0,0.0757452123224009,45,1939.0,0.09808410338353217,47,1731.0,0.0639168905452344,47,2116.0,0.07054866517153395,181,7567.0,-27.15
115.0,187,8474.0,41.33658536585366,0.6915538488842994,43,1993.0,0.04755906948107736,45,2162.0,0.058187281023026206,51,1974.0,0.012373954579203135,48,2356.0,0.023012302700215995,187,8485.0,-28.049999999999997
120.0,194,9073.0,44.25853658536585,0.47328750060555536,45,2212.0,0.02003722713154163,49,2400.0,0.03041631936952076,53,2237.0,0.006901691799281608,47,2437.0,0.007212491414057054,194,9286.0,-29.099999999999998
125.0,181,9099.0,45.04455445544554,0.62349489067644,45,2437.0,0.021405715256907983,49,2645.0,0.013702712659096053,47,2329.0,0.04339041891170721,40,2498.0,0.02770600644676075,181,9909.0,-27.15
130.0,172,9292.0,46.22885572139303,0.8116858668729883,45,2664.0,0.05489526286866938,50,2892.0,0.00011973702493649224,40,2285.0,0.09321656406378169,37,2687.0,0.048900021824465324,172,10528.0,-25.8
135.0,171,9828.0,48.8955223880597,0.7038462049083559,45,2889.0,0.04258126085360132,50,3142.0,0.0,38,2403.0,0.05458560325279621,38,2824.0,0.07941464121785981,171,11258.0,-25.65
140.0,187,10736.0,53.68,0.32316010243569937,47,3121.0,0.0360901675186572,50,3392.0,0.0,42,2609.0,0.010751970143348022,48,3045.0,0.026015439022298224,187,12167.0,-28.049999999999997
145.0,195,11697.0,58.485,0.08754784259463191,49,3363.0,0.008336538319797337,50,3642.0,0.0,45,2828.0,0.00038405225862251047,51,3295.0,0.00024210259952413605,195,13128.0,-29.25
150.0,198,12484.0,62.42,0.08385747615694034,51,3615.0,2.2943396370969477e-05,50,3892.0,0.0,46,3058.0,5.375244240190072e-06,51,3544.0,0.006460673490004238,198,14109.0,-29.7
155.0,196,13425.0,67.125,0.072735085719559,51,3870.0,0.0,50,4142.0,0.0,46,3288.0,0.0,49,3798.0,0.004734753200063389,196,15098.0,-29.4
160.0,197,14399.0,72.35678391959799,0.021873815741214726,51,4125.0,0.0,50,4392.0,0.0,46,3518.0,0.0,50,4043.0,0.007770026668114651,197,16078.0,-29.549999999999997
165.0,198,15342.0,77.09547738693468,0.010549262453988795,51,4380.0,0.0,50,4642.0,0.0,46,3748.0,0.0,51,4300.0,0.0029682899234919624,198,17070.0,-29.7
170.0,195,16169.0,81.25125628140704,0.019531717084596674,51,4635.0,0.0,50,4892.0,0.0,46,3978.0,0.0,48,4543.0,0.005601459820019512,195,18048.0,-29.25
175.0,197,17120.0,85.6,0.005416850763596108,51,4890.0,0.0,50,5142.0,0.0,46,4208.0,0.0,50,4789.0,0.0016189284423256925,197,19029.0,-29.549999999999997
180.0,200,18115.0,90.575,9.58603564440668e-05,51,5145.0,0.0,50,5392.0,0.0,46,4438.0,0.0,53,5049.0,2.9133652826519314e-05,200,20024.0,-30.0
185.0,194,18271.0,91.355,0.10257841031150444,51,5400.0,0.0,44,5341.0,0.012467341801647505,46,4668.0,0.0,53,5314.0,4.3689713474595966e-07,194,20723.0,-29.099999999999998
190.0,185,18287.0,91.435,0.48417703070908785,51,5657.0,0.03127909696095809,35,4989.0,0.04924760101224286,46,4898.0,0.0,53,5579.0,0.0,185,21123.0,-27.75
195.0,182,18724.0,93.62,0.5222628684506438,51,5912.0,0.04878485047562625,32,5154.0,0.036616618551943064,46,5128.0,0.0,53,5844.0,0.0,182,22038.0,-27.299999999999997
200.0,185,19377.0,96.885,0.41093054264925377,51,6165.0,0.017727096508746442,35,5319.0,0.03070107650652741,46,5358.0,0.009183686311367917,53,6109.0,0.0,185,22951.0,-27.75
205.0,190,20315.0,102.08542713567839,0.2720087949365576,52,6423.0,1.1473974415327628e-05,38,5501.0,0.01548455573557072,47,5591.0,7.00491462895213e-06,53,6374.0,1.2739498442617047e-07,190,23889.0,-28.5
210.0,193,21273.0,107.98477157360406,0.08551705071221807,52,6683.0,0.0,41,5699.0,0.0026005840685444574,47,5826.0,0.0,53,6639.0,1.3100163823760673e-07,193,24847.0,-28.95
215.0,196,22250.0,112.94416243654823,0.08128690136083258,52,6943.0,0.0,44,5916.0,0.00013206825138973723,47,6061.0,0.0,53,6904.0,0.0,196,25824.0,-29.4
220.0,196,23230.0,118.5204081632653,1.309722101831746e-06,52,7203.0,0.0,44,6136.0,5.00463373164571e-07,47,6296.0,0.0,53,7169.0,0.0,196,26804.0,-29.4
225.0,196,24210.0,123.5204081632653,0.0,52,7463.0,0.0,44,6356.0,0.0,47,6531.0,0.0,53,7434.0,0.0,196,27784.0,-29.4
230.0,196,25190.0,128.5204081632653,0.0,52,7723.0,0.0,44,6576.0,0.0,47,6766.0,0.0,53,7699.0,0.0,196,28764.0,-29.4
235.0,196,26170.0,133.5204081632653,0.0,52,7983.0,0.0,44,6796.0,0.0,47,7001.0,0.0,53,7964.0,0.0,196,29744.0,-29.4
240.0,196,27150.0,138.5204081632653,0.0,52,8243.0,0.0,44,7016.0,0.0,47,7236.0,0.0,53,8229.0,0.0,196,30724.0,-29.4
245.0,196,28130.0,143.5204081632653,0.0,52,8503.0,0.0,44,7236.0,0.0,47,7471.0,0.0,53,8494.0,0.0,196,31704.0,-29.4
